Date,MarketCap
01-12-2018,1634820282
02-12-2018,1754285184
03-12-2018,1650988749
04-12-2018,1576176080
05-12-2018,1508531943
06-12-2018,1812321980
07-12-2018,1815577191
08-12-2018,1724720837
09-12-2018,1702607764
10-12-2018,1668422467
11-12-2018,1579730163
12-12-2018,1555368511
13-12-2018,1372187886
14-12-2018,1230477651
15-12-2018,1193239758
16-12-2018,1354525811
17-12-2018,1431003874
18-12-2018,1482162325
19-12-2018,1515620025
20-12-2018,1962852761
21-12-2018,1899793934
22-12-2018,1911738033
23-12-2018,1874808177
24-12-2018,1795953737
25-12-2018,1638246086
26-12-2018,1656919625
27-12-2018,1488076181
28-12-2018,1641882041
29-12-2018,1568298809
30-12-2018,1553228295
31-12-2018,1490162204
01-01-2019,1616381095
02-01-2019,1664647783
03-01-2019,1555333447
04-01-2019,1537922018
05-01-2019,1553493902
06-01-2019,1586212000
07-01-2019,1558437547
08-01-2019,1537424564
09-01-2019,1528138561
10-01-2019,1333024139
11-01-2019,1317511207
12-01-2019,1454135673
13-01-2019,1360198445
14-01-2019,1411712392
15-01-2019,1360428517
16-01-2019,1373822193
17-01-2019,1371508266
18-01-2019,1334911206
19-01-2019,1362577707
20-01-2019,1324247115
21-01-2019,1318537239
22-01-2019,1334760515
23-01-2019,1328070050
24-01-2019,1310384265
25-01-2019,1314264147
26-01-2019,1300987710
27-01-2019,1263392931
28-01-2019,1143281253
29-01-2019,1117891185
30-01-2019,1167863935
31-01-2019,1125734365
01-02-2019,1132412159
02-02-2019,1157197654
03-02-2019,1121559772
04-02-2019,1109053713
05-02-2019,1072808005
06-02-2019,1107231481
07-02-2019,1100601291
08-02-2019,1185898034
09-02-2019,1163931503
10-02-2019,1173301757
11-02-2019,1144580691
12-02-2019,1153968802
13-02-2019,1137354133
14-02-2019,1104780030
15-02-2019,1099721478
16-02-2019,1097820653
17-02-2019,1108140608
18-02-2019,1192478125
19-02-2019,1182805563
20-02-2019,1190212544
21-02-2019,1153050213
22-02-2019,1163153366
23-02-2019,1212312853
24-02-2019,1079526122
25-02-2019,1206403703
26-02-2019,1315784967
27-02-2019,1197314925
28-02-2019,1187857982
01-03-2019,1182343364
02-03-2019,1180999352
03-03-2019,1154648588
04-03-2019,1120285319
05-03-2019,1187893430
06-03-2019,1181435453
07-03-2019,1180585637
08-03-2019,1158030765
09-03-2019,1179297014
10-03-2019,1180167566
11-03-2019,891834274
12-03-2019,1163233723
13-03-2019,1148222963
14-03-2019,1171084828
15-03-2019,1196129480
16-03-2019,1218972280
17-03-2019,1209844855
18-03-2019,1188639613
19-03-2019,1185981264
20-03-2019,1181225402
21-03-2019,1165165905
22-03-2019,1177532502
23-03-2019,1190429109
24-03-2019,1164798628
25-03-2019,1137991954
26-03-2019,1138486516
27-03-2019,1166692050
28-03-2019,1142925213
29-03-2019,1137338122
30-03-2019,1148897979
31-03-2019,1148254869
01-04-2019,1167678134
02-04-2019,1392949254
03-04-2019,1449888414
04-04-2019,1466712265
05-04-2019,1490030100
06-04-2019,1495936740
07-04-2019,1526953180
08-04-2019,1473242001
09-04-2019,1393574891
10-04-2019,1418740152
11-04-2019,1271485723
12-04-2019,1266262232
13-04-2019,1239968452
14-04-2019,1259417048
15-04-2019,1051114028
16-04-2019,1018875678
17-04-2019,981298471
18-04-2019,1055017980
19-04-2019,1053423314
20-04-2019,1042112591
21-04-2019,1004489953
22-04-2019,1025606167
23-04-2019,999460331
24-04-2019,959917784
25-04-2019,912123921
26-04-2019,955485270
27-04-2019,967313508
28-04-2019,963545504
29-04-2019,936567845
30-04-2019,962208644
01-05-2019,950557694
02-05-2019,943639005
03-05-2019,961878906
04-05-2019,951273074
05-05-2019,953140153
06-05-2019,938762869
07-05-2019,938176122
08-05-2019,1050005511
09-05-2019,1008373664
10-05-2019,1028623688
11-05-2019,1083724102
12-05-2019,1026678560
13-05-2019,1074941102
14-05-2019,1070946536
15-05-2019,1293433953
16-05-2019,1151758916
17-05-2019,1072852685
18-05-2019,1059511944
19-05-2019,1166554606
20-05-2019,1123485671
21-05-2019,1855438824
22-05-2019,1863328056
23-05-2019,1810944373
24-05-2019,1763217329
25-05-2019,1652393022
26-05-2019,1888474994
27-05-2019,2083869455
28-05-2019,2167142402
29-05-2019,3582225041
30-05-2019,3289282118
31-05-2019,3487100466
01-06-2019,3367270621
02-06-2019,3419756287
03-06-2019,3937337539
04-06-2019,4084676912
05-06-2019,3881289464
06-06-2019,3569339141
07-06-2019,3635672313
08-06-2019,3483742483
09-06-2019,3304678227
10-06-2019,3430103820
11-06-2019,3320911750
12-06-2019,3379195183
13-06-2019,3799711913
14-06-2019,3847644002
15-06-2019,3744341701
16-06-2019,3785005960
17-06-2019,4020622908
18-06-2019,3970083018
19-06-2019,4004167594
20-06-2019,3880633278
21-06-2019,3967815685
22-06-2019,4254524001
23-06-2019,4237495802
24-06-2019,4195220389
25-06-2019,4249910362
26-06-2019,3915511309
27-06-2019,3519389125
28-06-2019,3772892456
29-06-2019,3827360946
30-06-2019,3467494147
01-07-2019,3526901662
02-07-2019,3499705964
03-07-2019,3641773067
04-07-2019,3504637137
05-07-2019,3548070338
06-07-2019,3540357312
07-07-2019,3563006593
08-07-2019,3597982934
09-07-2019,3656288346
10-07-2019,3409859510
11-07-2019,2906555620
12-07-2019,2974737453
13-07-2019,2746032598
14-07-2019,2256919348
15-07-2019,2309344979
16-07-2019,1987830100
17-07-2019,2147055723
18-07-2019,2418436065
19-07-2019,2605902115
20-07-2019,3086491552
21-07-2019,3154961437
22-07-2019,3006469595
23-07-2019,3033899432
24-07-2019,3002320139
25-07-2019,2893424745
26-07-2019,2912946056
27-07-2019,2711335583
28-07-2019,2640158080
29-07-2019,2613121947
30-07-2019,2622539003
31-07-2019,2642119495
01-08-2019,2620088257
02-08-2019,2652230835
03-08-2019,2709326271
04-08-2019,2687245449
05-08-2019,2750380989
06-08-2019,2626080886
07-08-2019,2629297881
08-08-2019,2573199013
09-08-2019,2511294759
10-08-2019,2525899500
11-08-2019,2603968439
12-08-2019,2543543277
13-08-2019,2553750191
14-08-2019,2391214230
15-08-2019,2419951665
16-08-2019,2407742690
17-08-2019,2383419504
18-08-2019,2439016944
19-08-2019,2604413600
20-08-2019,2509155318
21-08-2019,2379374155
22-08-2019,2413408266
23-08-2019,2432661964
24-08-2019,2386434593
25-08-2019,2373713768
26-08-2019,2350733731
27-08-2019,2396048860
28-08-2019,2242929660
29-08-2019,2301089457
30-08-2019,2328387426
31-08-2019,2310674799
01-09-2019,2314946418
02-09-2019,2386234085
03-09-2019,2413379240
04-09-2019,2354259325
05-09-2019,2330600001
06-09-2019,2343235062
07-09-2019,2403488056
08-09-2019,2419929881
09-09-2019,2346482307
10-09-2019,2255943590
11-09-2019,2144703311
12-09-2019,2143987077
13-09-2019,2109074528
14-09-2019,2135634066
15-09-2019,2138947005
16-09-2019,2191807333
17-09-2019,2237774676
18-09-2019,2246226066
19-09-2019,2193717629
20-09-2019,2194844686
21-09-2019,2186671710
22-09-2019,2141659238
23-09-2019,2034335259
24-09-2019,1496185823
25-09-2019,1550409503
26-09-2019,1498239430
27-09-2019,1517496158
28-09-2019,1508566985
29-09-2019,1476698556
30-09-2019,1560900186
01-10-2019,1516975065
02-10-2019,1517256796
03-10-2019,1484889649
04-10-2019,1493659696
05-10-2019,1473298702
06-10-2019,1466721706
07-10-2019,1506944396
08-10-2019,1509461742
09-10-2019,1632108268
10-10-2019,1584208283
11-10-2019,1510633496
12-10-2019,1555843680
13-10-2019,1547249914
14-10-2019,1557088085
15-10-2019,1598404211
16-10-2019,1577463973
17-10-2019,1601366280
18-10-2019,1615227920
19-10-2019,1612294439
20-10-2019,1690943191
21-10-2019,2011641650
22-10-2019,1921605778
23-10-2019,1762631587
24-10-2019,1931343421
25-10-2019,2412628579
26-10-2019,2506456129
27-10-2019,2538038524
28-10-2019,2498420677
29-10-2019,2552418810
30-10-2019,2455107079
31-10-2019,2345098775
01-11-2019,2345362327
02-11-2019,2386427906
03-11-2019,2341224259
04-11-2019,2391918494
05-11-2019,2496444837
06-11-2019,2520692186
07-11-2019,2417811957
08-11-2019,2253587995
09-11-2019,2348930504
10-11-2019,2434718388
11-11-2019,2381598573
12-11-2019,2383450679
13-11-2019,2341129499
14-11-2019,2290741186
15-11-2019,2237387754
16-11-2019,2248506131
17-11-2019,2246662178
18-11-2019,2129876360
19-11-2019,1996250189
20-11-2019,1925241869
21-11-2019,1811450983
22-11-2019,1751697880
23-11-2019,1973762429
24-11-2019,1814217168
25-11-2019,1888863830
26-11-2019,1947609127
27-11-2019,1948925218
28-11-2019,1921403990
29-11-2019,1978813004
30-11-2019,1945611203
01-12-2019,1884411961
02-12-2019,1816323733
03-12-2019,1733908192
04-12-2019,1724375560
05-12-2019,1733292933
06-12-2019,1752834428
