Date,MarketCap
01-12-2018,177962574
02-12-2018,178770938
03-12-2018,178146806
04-12-2018,178853754
05-12-2018,180498555
06-12-2018,181375785
07-12-2018,186984732
08-12-2018,189115397
09-12-2018,188363784
10-12-2018,194659964
11-12-2018,193258122
12-12-2018,195911389
13-12-2018,195990468
14-12-2018,205058003
15-12-2018,201408567
16-12-2018,204222547
17-12-2018,214498101
18-12-2018,216113191
19-12-2018,227179148
20-12-2018,229602070
21-12-2018,231531679
22-12-2018,230419100
23-12-2018,230406708
24-12-2018,230219939
25-12-2018,230303642
26-12-2018,230733088
27-12-2018,241190277
28-12-2018,244258933
29-12-2018,251416580
30-12-2018,249383515
31-12-2018,254230218
01-01-2019,261353425
02-01-2019,288816454
03-01-2019,290759445
04-01-2019,293621600
05-01-2019,294420174
06-01-2019,305397453
07-01-2019,316560983
08-01-2019,327134638
09-01-2019,337931396
10-01-2019,346525551
11-01-2019,356762456
12-01-2019,364888858
13-01-2019,372399548
14-01-2019,365745274
15-01-2019,360749462
16-01-2019,321495519
17-01-2019,322975567
18-01-2019,326379674
19-01-2019,325827499
20-01-2019,327478050
21-01-2019,328795313
22-01-2019,332524898
23-01-2019,315423713
24-01-2019,323387386
25-01-2019,326799021
26-01-2019,326739212
27-01-2019,333585022
28-01-2019,318116020
29-01-2019,318523792
30-01-2019,318185578
31-01-2019,297790025
01-02-2019,303077425
02-02-2019,303768812
03-02-2019,302531642
04-02-2019,291806351
05-02-2019,291042663
06-02-2019,291895730
07-02-2019,276092246
08-02-2019,277576609
09-02-2019,261570199
10-02-2019,262005710
11-02-2019,261437387
12-02-2019,262859263
13-02-2019,246858432
14-02-2019,246582359
15-02-2019,247301762
16-02-2019,247555008
17-02-2019,250117816
18-02-2019,247579345
19-02-2019,245411277
20-02-2019,248241907
21-02-2019,233211813
22-02-2019,233988555
23-02-2019,232823545
24-02-2019,231683105
25-02-2019,234355973
26-02-2019,232919408
27-02-2019,234332690
28-02-2019,234118357
01-03-2019,233704707
02-03-2019,238964776
03-03-2019,239435727
04-03-2019,240265683
05-03-2019,240587907
06-03-2019,239891927
07-03-2019,239792871
08-03-2019,240037668
09-03-2019,239526386
10-03-2019,241217070
11-03-2019,239824828
12-03-2019,239478825
13-03-2019,243618142
14-03-2019,244623975
15-03-2019,242997571
16-03-2019,243037195
17-03-2019,243982005
18-03-2019,243412427
19-03-2019,243793849
20-03-2019,243880396
21-03-2019,247007932
22-03-2019,246609280
23-03-2019,247863704
24-03-2019,247226412
25-03-2019,249298995
26-03-2019,248448913
27-03-2019,249648527
28-03-2019,249534401
29-03-2019,246925871
30-03-2019,246478130
31-03-2019,246270111
01-04-2019,253290031
02-04-2019,257154541
03-04-2019,256492829
04-04-2019,257700787
05-04-2019,261161960
06-04-2019,260706591
07-04-2019,262035385
08-04-2019,261528845
09-04-2019,266472461
10-04-2019,263097191
11-04-2019,259775723
12-04-2019,259999114
13-04-2019,260490480
14-04-2019,261528326
15-04-2019,259120335
16-04-2019,261998390
17-04-2019,257358655
18-04-2019,252677626
19-04-2019,252660269
20-04-2019,252224995
21-04-2019,251875250
22-04-2019,252701768
23-04-2019,251619167
24-04-2019,251875614
25-04-2019,257987023
26-04-2019,266877831
27-04-2019,295631313
28-04-2019,296169540
29-04-2019,296038711
30-04-2019,296148387
01-05-2019,297075625
02-05-2019,297640824
03-05-2019,300729165
04-05-2019,301440448
05-05-2019,302262909
06-05-2019,304196575
07-05-2019,309665945
08-05-2019,315621068
09-05-2019,325541429
10-05-2019,328247562
11-05-2019,326080996
12-05-2019,326565574
13-05-2019,337091606
14-05-2019,347094430
15-05-2019,350986006
16-05-2019,355813796
17-05-2019,358044015
18-05-2019,357148686
19-05-2019,358662739
20-05-2019,356599309
21-05-2019,358037015
