Date,MarketCap
01-12-2018,73346194969
02-12-2018,72050487506
03-12-2018,67779050170
04-12-2018,68878292608
05-12-2018,65352496336
06-12-2018,61303965508
07-12-2018,59547645578
08-12-2018,60531278392
09-12-2018,62942160928
10-12-2018,61004445982
11-12-2018,59650201102
12-12-2018,60741625426
13-12-2018,57728688216
14-12-2018,56494379457
15-12-2018,56400691425
16-12-2018,56685436644
17-12-2018,61798926687
18-12-2018,64422587801
19-12-2018,65299132785
20-12-2018,72078243771
21-12-2018,67937650255
22-12-2018,69997508295
23-12-2018,69741217417
24-12-2018,71137548589
25-12-2018,66556033172
26-12-2018,67292819465
27-12-2018,63768757101
28-12-2018,68471837969
29-12-2018,66672244158
30-12-2018,67475512827
31-12-2018,65331499158
01-01-2019,67098634181
02-01-2019,68849856732
03-01-2019,66994920903
04-01-2019,67368333500
05-01-2019,67157570935
06-01-2019,71206795853
07-01-2019,70316305580
08-01-2019,70422743854
09-01-2019,70508733459
10-01-2019,64288932886
11-01-2019,64443301117
12-01-2019,63994140882
13-01-2019,62106461671
14-01-2019,64789619995
15-01-2019,63477817959
16-01-2019,63909348776
17-01-2019,64327048255
18-01-2019,63970991867
19-01-2019,65214103659
20-01-2019,62990143284
21-01-2019,62559869612
22-01-2019,63065139424
23-01-2019,62731361272
24-01-2019,63014066012
25-01-2019,63000985908
26-01-2019,63054898963
27-01-2019,62737274093
28-01-2019,60756570314
29-01-2019,60371874099
30-01-2019,61044262622
31-01-2019,60553903927
01-02-2019,61088747491
02-02-2019,61675119055
03-02-2019,60681847608
04-02-2019,60603083461
05-02-2019,60735563490
06-02-2019,59821158612
07-02-2019,59578075991
08-02-2019,64270269953
09-02-2019,64354732475
10-02-2019,64694025951
11-02-2019,63968390250
12-02-2019,64063755250
13-02-2019,63694394519
14-02-2019,63434486052
15-02-2019,63509111125
16-02-2019,63673369195
17-02-2019,64453368779
18-02-2019,68704389994
19-02-2019,69262673238
20-02-2019,70194350042
21-02-2019,69398333876
22-02-2019,70308555857
23-02-2019,72720867208
24-02-2019,66897483404
25-02-2019,68173204651
26-02-2019,67683296223
27-02-2019,67631949500
28-02-2019,67704774107
01-03-2019,67796965743
02-03-2019,67888255371
03-03-2019,67592376373
04-03-2019,66094551587
05-03-2019,68470655400
06-03-2019,68609885776
07-03-2019,68749421311
08-03-2019,68574579320
09-03-2019,69674508655
10-03-2019,69475297370
11-03-2019,68666928025
12-03-2019,68743000581
13-03-2019,68706700381
14-03-2019,69024696307
15-03-2019,69675002377
16-03-2019,71227967573
17-03-2019,70821939585
18-03-2019,70958165407
19-03-2019,71647703828
20-03-2019,71942444088
21-03-2019,70926226882
22-03-2019,70840048102
23-03-2019,71056017910
24-03-2019,70823042992
25-03-2019,69789872373
26-03-2019,70184147203
27-03-2019,71987847571
28-03-2019,71678998915
29-03-2019,72202088875
30-03-2019,72355190645
31-03-2019,72339379036
01-04-2019,73269368747
02-04-2019,85986009273
03-04-2019,87655288145
04-04-2019,86778727821
05-04-2019,88796118650
06-04-2019,89212733450
07-04-2019,91674230186
08-04-2019,93286365973
09-04-2019,91799330425
10-04-2019,93918439274
11-04-2019,89341168457
12-04-2019,89792633045
13-04-2019,89925574875
14-04-2019,91188595341
15-04-2019,89422237603
16-04-2019,92404613297
17-04-2019,92702617458
18-04-2019,93532402741
19-04-2019,93638345002
20-04-2019,94248717444
21-04-2019,93847052256
22-04-2019,95354207776
23-04-2019,98417387004
24-04-2019,96530038144
25-04-2019,92046492864
26-04-2019,93272287960
27-04-2019,93086156556
28-04-2019,93391244395
29-04-2019,92737510865
30-04-2019,94573826827
01-05-2019,95501110091
02-05-2019,97330112147
03-05-2019,101986240859
04-05-2019,103112021259
05-05-2019,102494420158
06-05-2019,101640471056
07-05-2019,103112368557
08-05-2019,105829143585
09-05-2019,109238600750
10-05-2019,112863284035
11-05-2019,127488435181
12-05-2019,123389710222
13-05-2019,138316573807
14-05-2019,141508656735
15-05-2019,145254332460
16-05-2019,139599559278
17-05-2019,130034777633
18-05-2019,128761727083
19-05-2019,145185076705
20-05-2019,141315695728
21-05-2019,141065573610
22-05-2019,136063898960
23-05-2019,139654107035
24-05-2019,141539115575
25-05-2019,142708188838
26-05-2019,153725486067
27-05-2019,156093754762
28-05-2019,154590202287
29-05-2019,153537047655
30-05-2019,147525141134
31-05-2019,152059886414
01-06-2019,151890214310
02-06-2019,155077231351
03-06-2019,145619047341
04-06-2019,136742790469
05-06-2019,138824651666
06-06-2019,138800725479
07-06-2019,142754693588
08-06-2019,141172841635
09-06-2019,136465098533
10-06-2019,142023351079
11-06-2019,140748537530
12-06-2019,144634684711
13-06-2019,146160317148
14-06-2019,154398880249
15-06-2019,156982138835
16-06-2019,159769423370
17-06-2019,165573372261
18-06-2019,161353637186
19-06-2019,164780855869
20-06-2019,169304784791
21-06-2019,180293241528
22-06-2019,190214124824
23-06-2019,192970090355
24-06-2019,195762668679
25-06-2019,209647943360
26-06-2019,231462117209
27-06-2019,198878940964
28-06-2019,220681459666
29-06-2019,212739713110
30-06-2019,192442065810
01-07-2019,188297637574
02-07-2019,192206536806
03-07-2019,212867079175
04-07-2019,199617404432
05-07-2019,195424678267
06-07-2019,199546110914
07-07-2019,203881891346
08-07-2019,218778355444
09-07-2019,223928128583
10-07-2019,216515999522
11-07-2019,202324174692
12-07-2019,210494417832
13-07-2019,202968191001
14-07-2019,182741933552
15-07-2019,194147627475
16-07-2019,168908640950
17-07-2019,172777250515
18-07-2019,190129918121
19-07-2019,187725578628
20-07-2019,191963691255
21-07-2019,188987475962
22-07-2019,184443440748
23-07-2019,176572890702
24-07-2019,175005760794
25-07-2019,176806451137
26-07-2019,176085968354
27-07-2019,169099540423
28-07-2019,170461958074
29-07-2019,169880343827
30-07-2019,171472452506
31-07-2019,180028959603
01-08-2019,185653203391
02-08-2019,187791090996
03-08-2019,193233960601
04-08-2019,195907875403
05-08-2019,210848822060
06-08-2019,205023347814
07-08-2019,213330426789
08-08-2019,213788089212
09-08-2019,211961319133
10-08-2019,202890020455
11-08-2019,205941632235
12-08-2019,203441494985
13-08-2019,194762696644
14-08-2019,179692803424
15-08-2019,184357666577
16-08-2019,185500055339
17-08-2019,182966857173
18-08-2019,185022920955
19-08-2019,195243306008
20-08-2019,192530283565
21-08-2019,181364502142
22-08-2019,181257125783
23-08-2019,186231409722
24-08-2019,181813631752
25-08-2019,181450186164
26-08-2019,185625235889
27-08-2019,182325540955
28-08-2019,174627460400
29-08-2019,170274910132
30-08-2019,171869216524
31-08-2019,172470743516
01-09-2019,174768292883
02-09-2019,185333114163
03-09-2019,190312487956
04-09-2019,189810010608
05-09-2019,189492405383
06-09-2019,185530405363
07-09-2019,188488525926
08-09-2019,187150078007
09-09-2019,185263578990
10-09-2019,181360731383
11-09-2019,182502788242
12-09-2019,186678943059
13-09-2019,185809163035
14-09-2019,185784300332
15-09-2019,185618174384
16-09-2019,184366827555
17-09-2019,183748515828
18-09-2019,182998899156
19-09-2019,184240949577
20-09-2019,182738947696
21-09-2019,179853287294
22-09-2019,180784051699
23-09-2019,174674558023
