Date,MarketCap
01-12-2018,12284117522
02-12-2018,12053770487
03-12-2018,11282911404
04-12-2018,11418617063
05-12-2018,10618884099
06-12-2018,9510417097
07-12-2018,9671177427
08-12-2018,9555327946
09-12-2018,9866414732
10-12-2018,9509816315
11-12-2018,9227301064
12-12-2018,9400044026
13-12-2018,8981108543
14-12-2018,8751209554
15-12-2018,8766638124
16-12-2018,8853567311
17-12-2018,9880456239
18-12-2018,10503295749
19-12-2018,10521416481
20-12-2018,12076674310
21-12-2018,11380357569
22-12-2018,12137481655
23-12-2018,13595887732
24-12-2018,14583457939
25-12-2018,13505089290
26-12-2018,13717858346
27-12-2018,12129493222
28-12-2018,14324511544
29-12-2018,14365797196
30-12-2018,14560066114
31-12-2018,13886837730
01-01-2019,14665318370
02-01-2019,16150049902
03-01-2019,15536849936
04-01-2019,16107068093
05-01-2019,16219974745
06-01-2019,16442429109
07-01-2019,15814868678
08-01-2019,15677889902
09-01-2019,15726845711
10-01-2019,13416263931
11-01-2019,13306214134
12-01-2019,13143426379
13-01-2019,12199288487
14-01-2019,13471754802
15-01-2019,12739543688
16-01-2019,12899812275
17-01-2019,12922347330
18-01-2019,12639234713
19-01-2019,13007954846
20-01-2019,12483136112
21-01-2019,12242940197
22-01-2019,12410972241
23-01-2019,12277481872
24-01-2019,12269992351
25-01-2019,12168932300
26-01-2019,12182338148
27-01-2019,11861671822
28-01-2019,11150461958
29-01-2019,11048347342
30-01-2019,11396282341
31-01-2019,11204735502
01-02-2019,11263815610
02-02-2019,11560765573
03-02-2019,11254870706
04-02-2019,11290969364
05-02-2019,11253035388
06-02-2019,10990266833
07-02-2019,10951652648
08-02-2019,12496945336
09-02-2019,12515870173
10-02-2019,13080881910
11-02-2019,12714795026
12-02-2019,12849965121
13-02-2019,12849605819
14-02-2019,12729213675
15-02-2019,12805280766
16-02-2019,12928550184
17-02-2019,14014695490
18-02-2019,15327852479
19-02-2019,15250901019
20-02-2019,15694462393
21-02-2019,15337145738
22-02-2019,15649961167
23-02-2019,16670632412
24-02-2019,14263873721
25-02-2019,14682597926
26-02-2019,14502464167
27-02-2019,14298070644
28-02-2019,14365118213
01-03-2019,14335957425
02-03-2019,14103698392
03-03-2019,13900679027
04-03-2019,13432896659
05-03-2019,14492117352
06-03-2019,14590867639
07-03-2019,14513398954
08-03-2019,14209542041
09-03-2019,14509873018
10-03-2019,14384860876
11-03-2019,14079044648
12-03-2019,14144929392
13-03-2019,14022610219
14-03-2019,14071628064
15-03-2019,14492364551
16-03-2019,14989691491
17-03-2019,14739201597
18-03-2019,14675181094
19-03-2019,14797612389
20-03-2019,14817151375
21-03-2019,14392427839
22-03-2019,14451740115
23-03-2019,14565143357
24-03-2019,14434995337
25-03-2019,14230733149
26-03-2019,14277816266
27-03-2019,14862394451
28-03-2019,14698609599
29-03-2019,15025361637
30-03-2019,14984615423
31-03-2019,14925533137
01-04-2019,14960828861
02-04-2019,17297572365
03-04-2019,17035703564
04-04-2019,16678477300
05-04-2019,17468192986
06-04-2019,17516082778
07-04-2019,18424576820
08-04-2019,19031640376
09-04-2019,18596496042
10-04-2019,18728058767
11-04-2019,17479876008
12-04-2019,17401765647
13-04-2019,17380468169
14-04-2019,17734050269
15-04-2019,17074367783
16-04-2019,17715913572
17-04-2019,17647086048
18-04-2019,18374913022
19-04-2019,18366130180
20-04-2019,18373023202
21-04-2019,17983602095
22-04-2019,18179292263
23-04-2019,18136462572
24-04-2019,17544029659
25-04-2019,16343573973
26-04-2019,16545462357
27-04-2019,16768575998
28-04-2019,16650076837
29-04-2019,16430642271
30-04-2019,17170110493
01-05-2019,17029616915
02-05-2019,17169962760
03-05-2019,17789626262
04-05-2019,17376070198
05-05-2019,17317292591
06-05-2019,18294624766
07-05-2019,17994460619
08-05-2019,18118602844
09-05-2019,18051087500
10-05-2019,18355936406
11-05-2019,20602050120
12-05-2019,19864635091
13-05-2019,20876934045
14-05-2019,23033114137
15-05-2019,26219111162
16-05-2019,28010958253
17-05-2019,25866318005
18-05-2019,24896520187
19-05-2019,27733299057
20-05-2019,26736046292
21-05-2019,27095257004
22-05-2019,25982060192
23-05-2019,26119891327
24-05-2019,26497014858
25-05-2019,26742086786
26-05-2019,28371943145
27-05-2019,28991071396
28-05-2019,28878512607
29-05-2019,28636457373
30-05-2019,27194892741
31-05-2019,28501098831
01-06-2019,28215330784
02-06-2019,28732949885
03-06-2019,26863086906
04-06-2019,25667971281
05-06-2019,26278874480
06-06-2019,26540057659
07-06-2019,26698353830
08-06-2019,26149221979
09-06-2019,24806123509
10-06-2019,26345596475
11-06-2019,26163906569
12-06-2019,27777154177
13-06-2019,27276572627
14-06-2019,28123338884
15-06-2019,28652203067
16-06-2019,28677606760
17-06-2019,29227567867
18-06-2019,28240458529
19-06-2019,28710780975
20-06-2019,28955655290
21-06-2019,31433771859
22-06-2019,32980338717
23-06-2019,32819043043
24-06-2019,33100160024
25-06-2019,33925713000
26-06-2019,35916727561
27-06-2019,31389390615
28-06-2019,33202586960
29-06-2019,34149263832
30-06-2019,31020295932
01-07-2019,31338571563
02-07-2019,31124332021
03-07-2019,32356299765
04-07-2019,30377082394
05-07-2019,30751916427
06-07-2019,30707785756
07-07-2019,32650611906
08-07-2019,33461369498
09-07-2019,32998749928
10-07-2019,30985827113
11-07-2019,28713849048
12-07-2019,29526802979
13-07-2019,28801816023
14-07-2019,24328422207
15-07-2019,24566488597
16-07-2019,21298941499
17-07-2019,22616651114
18-07-2019,24232572603
19-07-2019,23675884534
20-07-2019,24511869214
21-07-2019,24141704293
22-07-2019,23281138563
23-07-2019,22767023810
24-07-2019,23232101232
25-07-2019,23510336984
26-07-2019,23514586698
27-07-2019,22208955063
28-07-2019,22616386468
29-07-2019,22627969069
30-07-2019,22551013736
31-07-2019,23425015630
01-08-2019,23337361749
02-08-2019,23347127327
03-08-2019,23845116864
04-08-2019,23867371249
05-08-2019,25108076876
06-08-2019,24232708406
07-08-2019,24275514217
08-08-2019,23694202562
09-08-2019,22576055651
10-08-2019,22176113561
11-08-2019,23183002869
12-08-2019,22670420643
13-08-2019,22396531009
14-08-2019,20027397541
15-08-2019,20233249251
16-08-2019,19907120204
17-08-2019,19936235953
18-08-2019,20884307088
19-08-2019,21810324618
20-08-2019,21112106339
21-08-2019,20075644245
22-08-2019,20555295233
23-08-2019,20920364879
24-08-2019,20555802874
25-08-2019,20080495261
26-08-2019,20307338403
27-08-2019,20158029984
28-08-2019,18695530287
29-08-2019,18227677831
30-08-2019,18156660601
31-08-2019,18549906272
01-09-2019,18461846968
02-09-2019,19186913439
03-09-2019,19313265198
04-09-2019,18938360723
05-09-2019,18749645579
06-09-2019,18293376881
07-09-2019,19189873689
08-09-2019,19525276831
09-09-2019,19505534124
10-09-2019,19361276593
11-09-2019,19249367782
12-09-2019,19498542852
13-09-2019,19511050764
14-09-2019,20267272633
15-09-2019,20451239362
16-09-2019,21243167877
17-09-2019,22484889435
18-09-2019,22787891774
19-09-2019,23856751722
20-09-2019,23511410671
21-09-2019,23241121351
22-09-2019,22815755536
23-09-2019,21780534855
24-09-2019,18135747380
25-09-2019,18438188568
26-09-2019,17991000062
27-09-2019,18854855889
28-09-2019,18842313324
29-09-2019,18405401315
30-09-2019,19419149343
01-10-2019,19148222892
02-10-2019,19514521236
03-10-2019,18921747814
04-10-2019,19116991692
05-10-2019,19050956367
06-10-2019,18697637484
07-10-2019,19578142143
08-10-2019,19670825764
09-10-2019,20891536595
10-10-2019,20717535747
11-10-2019,19737401838
12-10-2019,19551368532
13-10-2019,19688808994
14-10-2019,20219637357
15-10-2019,19621350993
16-10-2019,19040429002
17-10-2019,19260755682
18-10-2019,18786275035
19-10-2019,18711940303
20-10-2019,18997957789
21-10-2019,18933882640
22-10-2019,18652588580
23-10-2019,17583244177
24-10-2019,17560021218
25-10-2019,19658140299
26-10-2019,19477741705
27-10-2019,19957408085
28-10-2019,19788729316
29-10-2019,20623205054
30-10-2019,20013431227
31-10-2019,19937256794
01-11-2019,19940014311
02-11-2019,19937622287
03-11-2019,19777347724
04-11-2019,20205859402
05-11-2019,20528094420
