Date,MarketCap
01-12-2018,1858375216
02-12-2018,1853398856
03-12-2018,1850098416
04-12-2018,1856479288
05-12-2018,1843363374
06-12-2018,1853258432
07-12-2018,1859078678
08-12-2018,1893504596
09-12-2018,1885200219
10-12-2018,1887246299
11-12-2018,1874603559
12-12-2018,1874533234
13-12-2018,1862692456
14-12-2018,1860500701
15-12-2018,1865684231
16-12-2018,1868184263
17-12-2018,1874876148
18-12-2018,1880309990
19-12-2018,1897935600
20-12-2018,1892468256
21-12-2018,1885208114
22-12-2018,1895045965
23-12-2018,1886040853
24-12-2018,1885710064
25-12-2018,1891786345
26-12-2018,1892714209
27-12-2018,1901298702
28-12-2018,1901200729
29-12-2018,1916646100
30-12-2018,1893629500
31-12-2018,1884199082
01-01-2019,1892772547
02-01-2019,1908446134
03-01-2019,1900260730
04-01-2019,1898444419
05-01-2019,1900850297
06-01-2019,1910347641
07-01-2019,1899849838
08-01-2019,1921519012
09-01-2019,1924061690
10-01-2019,1951532809
11-01-2019,1973324876
12-01-2019,1968628488
13-01-2019,1967105373
14-01-2019,1994117522
15-01-2019,2030634314
16-01-2019,2034461698
17-01-2019,2039914521
18-01-2019,2049916429
19-01-2019,2049986707
20-01-2019,2050721693
21-01-2019,2043620530
22-01-2019,2035374036
23-01-2019,2033881765
24-01-2019,2034477909
25-01-2019,2038477177
26-01-2019,2035939570
27-01-2019,2034836041
28-01-2019,2038694610
29-01-2019,2039923121
30-01-2019,2035381727
31-01-2019,2033970566
01-02-2019,2033605783
02-02-2019,2026311240
03-02-2019,2020950151
04-02-2019,2020505215
05-02-2019,2019910268
06-02-2019,2023129504
07-02-2019,2023283054
08-02-2019,2025330851
09-02-2019,2021998987
10-02-2019,2029926999
11-02-2019,2027856142
12-02-2019,2029502697
13-02-2019,2029480830
14-02-2019,2034561938
15-02-2019,2028414752
16-02-2019,2028056761
17-02-2019,2023392364
18-02-2019,2032482156
19-02-2019,2036854533
20-02-2019,2035565492
21-02-2019,2030389249
22-02-2019,2038722002
23-02-2019,2038700777
24-02-2019,2045808840
25-02-2019,2051885482
26-02-2019,2043385025
27-02-2019,2039742726
28-02-2019,2041809695
01-03-2019,2035341543
02-03-2019,2046557763
03-03-2019,2043328705
04-03-2019,2046154638
05-03-2019,2045218544
06-03-2019,2015364290
07-03-2019,2011160434
08-03-2019,2013254636
09-03-2019,2006176237
10-03-2019,2011853490
11-03-2019,2013884109
12-03-2019,2009529080
13-03-2019,2016486636
14-03-2019,2021198680
15-03-2019,2019386958
16-03-2019,2023624450
17-03-2019,2020136779
18-03-2019,2023596102
19-03-2019,2039364772
20-03-2019,2032419228
21-03-2019,2034791375
22-03-2019,2026517620
23-03-2019,2035564495
24-03-2019,2032100364
25-03-2019,2035968594
26-03-2019,2041600212
27-03-2019,2052994600
28-03-2019,2050152763
29-03-2019,2025447734
30-03-2019,2029560141
31-03-2019,2029986705
01-04-2019,2044790317
02-04-2019,2058622343
03-04-2019,2083736155
04-04-2019,2086183477
05-04-2019,2091887834
06-04-2019,2086940761
07-04-2019,2090015279
08-04-2019,2158728024
09-04-2019,2212375022
10-04-2019,2271407886
11-04-2019,2318990462
12-04-2019,2425813372
13-04-2019,2434771925
14-04-2019,2431637598
15-04-2019,2461221437
16-04-2019,2501559972
17-04-2019,2541510568
18-04-2019,2561734880
19-04-2019,2582526477
20-04-2019,2580691185
21-04-2019,2601017107
22-04-2019,2627691194
23-04-2019,2698944300
24-04-2019,2843517618
25-04-2019,2842830013
