Date,MarketCap
01-12-2018,15038289184
02-12-2018,14825428858
03-12-2018,14064337569
04-12-2018,14204552399
05-12-2018,13640400736
06-12-2018,12539238458
07-12-2018,12359838916
08-12-2018,12575595451
09-12-2018,12825284624
10-12-2018,12432208489
11-12-2018,12333147092
12-12-2018,12577803841
13-12-2018,12279148093
14-12-2018,11819314866
15-12-2018,11700328892
16-12-2018,11784050729
17-12-2018,13388520904
18-12-2018,14273429559
19-12-2018,14346541679
20-12-2018,15416266366
21-12-2018,14627554926
22-12-2018,14780047340
23-12-2018,15145652798
24-12-2018,16594994618
25-12-2018,15537325695
26-12-2018,15448432552
27-12-2018,13917404309
28-12-2018,15373342678
29-12-2018,14981716068
30-12-2018,15076740856
31-12-2018,14388351240
01-01-2019,14880496658
02-01-2019,15307691624
03-01-2019,14695011676
04-01-2019,14553198221
05-01-2019,14493133457
06-01-2019,15028369642
07-01-2019,14863201414
08-01-2019,14902699115
09-01-2019,15130140419
10-01-2019,13652158155
11-01-2019,13662512032
12-01-2019,13494075804
13-01-2019,13045216854
14-01-2019,13697899741
15-01-2019,13427555274
16-01-2019,13531060365
17-01-2019,13516769990
18-01-2019,13308451031
19-01-2019,13584427086
20-01-2019,13181215054
21-01-2019,13165341827
22-01-2019,13112032408
23-01-2019,12988961767
24-01-2019,13034332606
25-01-2019,13016563843
26-01-2019,12935008078
27-01-2019,12737591539
28-01-2019,12137576987
29-01-2019,11919217295
30-01-2019,13191291588
31-01-2019,12762148539
01-02-2019,12699646520
02-02-2019,12798226062
03-02-2019,12445862137
04-02-2019,12358907415
05-02-2019,12319438868
06-02-2019,11969011802
07-02-2019,12005682182
08-02-2019,12831745667
09-02-2019,12815309888
10-02-2019,12758715490
11-02-2019,12475397374
12-02-2019,12576315747
13-02-2019,12538960413
14-02-2019,12441105391
15-02-2019,12434893660
16-02-2019,12432602528
17-02-2019,12501307769
18-02-2019,13251207947
19-02-2019,13374527524
20-02-2019,13750925866
21-02-2019,13272215549
22-02-2019,13315770282
23-02-2019,13759017838
24-02-2019,12469397085
25-02-2019,13589015145
26-02-2019,13215356893
27-02-2019,12951843120
28-02-2019,13033383006
01-03-2019,13146898194
02-03-2019,13056329959
03-03-2019,12949767221
04-03-2019,12642316836
05-03-2019,13113543971
06-03-2019,13135275499
07-03-2019,13041438381
08-03-2019,12847588532
09-03-2019,13002493406
10-03-2019,12972692491
11-03-2019,12888076063
12-03-2019,12852289140
13-03-2019,13013743791
14-03-2019,12966405951
15-03-2019,13053269086
16-03-2019,13277693053
17-03-2019,13159356178
18-03-2019,13152224850
19-03-2019,13228510122
20-03-2019,13316885397
21-03-2019,13029696678
22-03-2019,12980675768
23-03-2019,13014768156
24-03-2019,12874448652
25-03-2019,12681109120
26-03-2019,12722986423
27-03-2019,13031827698
28-03-2019,12897607540
29-03-2019,12842645325
30-03-2019,12955391175
31-03-2019,12896872922
01-04-2019,13043585711
02-04-2019,14672900148
03-04-2019,14286134859
04-04-2019,13880340560
05-04-2019,15103004666
06-04-2019,14794185026
07-04-2019,15021731305
08-04-2019,14971342083
09-04-2019,14604743889
10-04-2019,14827516669
11-04-2019,13832528015
12-04-2019,13638700669
13-04-2019,13625508289
14-04-2019,13741639599
15-04-2019,13468978197
16-04-2019,13733570917
17-04-2019,14079207980
18-04-2019,14146855828
19-04-2019,13930181415
20-04-2019,13786384592
21-04-2019,13533407430
22-04-2019,13606823301
23-04-2019,13492933875
24-04-2019,12698877293
25-04-2019,12155572105
26-04-2019,12538573521
27-04-2019,12464603664
28-04-2019,12493351058
29-04-2019,12361611828
30-04-2019,12999538690
01-05-2019,12798744397
02-05-2019,12737560179
03-05-2019,12972165512
04-05-2019,12817676080
05-05-2019,12724692457
06-05-2019,12726677734
07-05-2019,12626698623
08-05-2019,12670380604
09-05-2019,12492913760
10-05-2019,12656310572
11-05-2019,13674087917
12-05-2019,13064438400
13-05-2019,13713341569
14-05-2019,17235125077
15-05-2019,19212993088
16-05-2019,17683635997
17-05-2019,16271598326
18-05-2019,15704580785
19-05-2019,17599092589
20-05-2019,16762548744
21-05-2019,16745727273
22-05-2019,15862699533
23-05-2019,16055052179
24-05-2019,16195609303
25-05-2019,16300831593
26-05-2019,17200982210
27-05-2019,18285708015
28-05-2019,18807161864
29-05-2019,18687708968
30-05-2019,17789891580
31-05-2019,18499916713
01-06-2019,18162849086
02-06-2019,18761924960
03-06-2019,17959558304
04-06-2019,16900917006
05-06-2019,16988033342
06-06-2019,17720913432
07-06-2019,17872581318
08-06-2019,17419805679
09-06-2019,16399949893
10-06-2019,16913630345
11-06-2019,16653166702
12-06-2019,17075593029
13-06-2019,17038475489
14-06-2019,17252452725
15-06-2019,17443622689
16-06-2019,18170284661
17-06-2019,19044270772
18-06-2019,18223194815
19-06-2019,18565554265
20-06-2019,18268310634
21-06-2019,18836369764
22-06-2019,20178408968
23-06-2019,19903281582
24-06-2019,20010034989
25-06-2019,19930916236
26-06-2019,19897799407
27-06-2019,17399283014
28-06-2019,18189360758
29-06-2019,18277144071
30-06-2019,16873846275
01-07-2019,17318727257
02-07-2019,17035325314
03-07-2019,17389810699
04-07-2019,16546425930
05-07-2019,16131219596
06-07-2019,16560748581
07-07-2019,16900947895
08-07-2019,17091878214
09-07-2019,16778394835
10-07-2019,15484656712
11-07-2019,14061255160
12-07-2019,14647922420
13-07-2019,14139724265
14-07-2019,13043521742
15-07-2019,13421671800
16-07-2019,12630613062
17-07-2019,13304378913
18-07-2019,13842515320
19-07-2019,13732383140
20-07-2019,14272232666
21-07-2019,14190843704
22-07-2019,13796653786
23-07-2019,13274967598
24-07-2019,13532870285
25-07-2019,13484184546
26-07-2019,13857657307
27-07-2019,13300742951
28-07-2019,13376153627
29-07-2019,13318731525
30-07-2019,13653644725
31-07-2019,13758215467
01-08-2019,13629460730
02-08-2019,13393149204
03-08-2019,13580218029
04-08-2019,13712472285
05-08-2019,13872050658
06-08-2019,13347360882
07-08-2019,13374954845
08-08-2019,13190251227
09-08-2019,12747895720
10-08-2019,12806941381
11-08-2019,12943909474
12-08-2019,12881006909
13-08-2019,12723035972
14-08-2019,11294964982
15-08-2019,11360984400
16-08-2019,11236137963
17-08-2019,11396948393
18-08-2019,12122901988
19-08-2019,12152144825
20-08-2019,11829516782
21-08-2019,11420125836
22-08-2019,11620983953
23-08-2019,11866405277
24-08-2019,11695124196
25-08-2019,11589356109
26-08-2019,11625706519
27-08-2019,11575485111
28-08-2019,11053053032
29-08-2019,11035685652
30-08-2019,11013445816
31-08-2019,11141812866
01-09-2019,11092364972
02-09-2019,11211279067
03-09-2019,11310944375
04-09-2019,11171918974
05-09-2019,11018940997
06-09-2019,10846757543
07-09-2019,11205531353
08-09-2019,11308589245
09-09-2019,11157198091
10-09-2019,11129180970
11-09-2019,11012382024
12-09-2019,10963094269
13-09-2019,10994948160
14-09-2019,11236551220
15-09-2019,11256389684
16-09-2019,11227300186
17-09-2019,12262515974
18-09-2019,13509644789
19-09-2019,13021616393
20-09-2019,12678417604
21-09-2019,12461952068
22-09-2019,12009356968
23-09-2019,11574524621
