Date,MarketCap
01-12-2018,3010070869
02-12-2018,3010194661
03-12-2018,2795421069
04-12-2018,2617978806
05-12-2018,2283779814
06-12-2018,1882490958
07-12-2018,1869734341
08-12-2018,1820816062
09-12-2018,1918499081
10-12-2018,1878384641
11-12-2018,1786818888
12-12-2018,1796083515
13-12-2018,1581083402
14-12-2018,1407338099
15-12-2018,1354857549
16-12-2018,1429835840
17-12-2018,1582485422
18-12-2018,1842897809
19-12-2018,2250407550
20-12-2018,3403293234
21-12-2018,3404763308
22-12-2018,3446690555
23-12-2018,3464468332
24-12-2018,3194811505
25-12-2018,2996171177
26-12-2018,3077145391
27-12-2018,2632368862
28-12-2018,3051295976
29-12-2018,2894826363
30-12-2018,2869903438
31-12-2018,2649556711
01-01-2019,2892087608
02-01-2019,3014732747
03-01-2019,2843455670
04-01-2019,2832257307
05-01-2019,2815113500
06-01-2019,2928444441
07-01-2019,2830470728
08-01-2019,2842511735
09-01-2019,2810697903
10-01-2019,2369927478
11-01-2019,2312246613
12-01-2019,2360139637
13-01-2019,2219291825
14-01-2019,2353563604
15-01-2019,2257176864
16-01-2019,2269508449
17-01-2019,2302882084
18-01-2019,2257476672
19-01-2019,2288428149
20-01-2019,2177598900
21-01-2019,2159253905
22-01-2019,2258084781
23-01-2019,2326546174
24-01-2019,2275366585
25-01-2019,2257551746
26-01-2019,2236142032
27-01-2019,2161816591
28-01-2019,1978985766
29-01-2019,1954462937
30-01-2019,2082944610
31-01-2019,2020317794
01-02-2019,2051265822
02-02-2019,2143595618
03-02-2019,2091663603
04-02-2019,2097108276
05-02-2019,2072438278
06-02-2019,2030777404
07-02-2019,2027740445
08-02-2019,2304674878
09-02-2019,2265803863
10-02-2019,2247451285
11-02-2019,2158268752
12-02-2019,2174933530
13-02-2019,2170002268
14-02-2019,2143745070
15-02-2019,2149451478
16-02-2019,2156696757
17-02-2019,2197907885
18-02-2019,2545790168
19-02-2019,2526640652
20-02-2019,2610658250
21-02-2019,2520520395
22-02-2019,2559341440
23-02-2019,2703206926
24-02-2019,2297963405
25-02-2019,2397004768
26-02-2019,2368915181
27-02-2019,2343107844
28-02-2019,2332748075
01-03-2019,2346655915
02-03-2019,2339431979
03-03-2019,2322338739
04-03-2019,2208988908
05-03-2019,2339621253
06-03-2019,2353268980
07-03-2019,2333871541
08-03-2019,2286681068
09-03-2019,2363674682
10-03-2019,2346643092
11-03-2019,2300366575
12-03-2019,2278392927
13-03-2019,2278360791
14-03-2019,2366317917
15-03-2019,2544991930
16-03-2019,2785421758
17-03-2019,2759201463
18-03-2019,2872870544
19-03-2019,2871986995
20-03-2019,2838778127
21-03-2019,2737074468
22-03-2019,2800577106
23-03-2019,2961308944
24-03-2019,2935530185
25-03-2019,2859416983
26-03-2019,2856498863
27-03-2019,3064635955
28-03-2019,2998993454
29-03-2019,3016920025
30-03-2019,2984272263
31-03-2019,2990730945
01-04-2019,2967829681
02-04-2019,4181200031
03-04-2019,5283502610
04-04-2019,5075306708
05-04-2019,5183362407
06-04-2019,5421896039
07-04-2019,5662007844
08-04-2019,5495399882
09-04-2019,5245808192
10-04-2019,5408935312
11-04-2019,4833259697
12-04-2019,5013575388
13-04-2019,4954123909
14-04-2019,5117349387
15-04-2019,5569511338
16-04-2019,5644306278
17-04-2019,5511745936
18-04-2019,5444130081
19-04-2019,5442073304
20-04-2019,5335185126
21-04-2019,5153508007
22-04-2019,5195382026
23-04-2019,5166782245
24-04-2019,4950183725
25-04-2019,4736173073
26-04-2019,4683922947
27-04-2019,4685455838
28-04-2019,4535543220
29-04-2019,4201181991
30-04-2019,4754698560
01-05-2019,4827202612
02-05-2019,4798658849
03-05-2019,5204703336
04-05-2019,5178176100
05-05-2019,5222388151
06-05-2019,5111287560
07-05-2019,5095284367
08-05-2019,5088008680
09-05-2019,5050970285
10-05-2019,5114440435
11-05-2019,6335163786
12-05-2019,6294245390
13-05-2019,6836234081
14-05-2019,6916566798
15-05-2019,7165698706
16-05-2019,7091323125
17-05-2019,6489886201
18-05-2019,6361880487
19-05-2019,7498997884
20-05-2019,7345236299
21-05-2019,7430305034
22-05-2019,6985412414
23-05-2019,7223445689
24-05-2019,7281315898
25-05-2019,7240862143
26-05-2019,7706274017
27-05-2019,7902126191
28-05-2019,7746217003
29-05-2019,8087688934
30-05-2019,7563129806
31-05-2019,7928120027
01-06-2019,7739847598
02-06-2019,7906527803
03-06-2019,7281637876
04-06-2019,6819133358
05-06-2019,7100023322
06-06-2019,7074832085
07-06-2019,7155833282
08-06-2019,7028325633
09-06-2019,6795928982
10-06-2019,7035828916
11-06-2019,6917539681
12-06-2019,7069287863
13-06-2019,7347603511
14-06-2019,7515047092
15-06-2019,7543301233
16-06-2019,7642032028
17-06-2019,7717588598
18-06-2019,7386885005
19-06-2019,7440639033
20-06-2019,7381555720
21-06-2019,7844600288
22-06-2019,8572340894
23-06-2019,8481134641
24-06-2019,8504058846
25-06-2019,8568477927
26-06-2019,8671982407
27-06-2019,7381521390
28-06-2019,7802534342
29-06-2019,7909203099
30-06-2019,7137232211
01-07-2019,7444877514
02-07-2019,7289112276
03-07-2019,7552985982
04-07-2019,7179847499
05-07-2019,7159550587
06-07-2019,7248770123
07-07-2019,7362894509
08-07-2019,7485665780
09-07-2019,7440740818
10-07-2019,6979428054
11-07-2019,6186691363
12-07-2019,6340628507
13-07-2019,6171207834
14-07-2019,5060555564
15-07-2019,5631883901
16-07-2019,5041290674
17-07-2019,5217863519
18-07-2019,5639784558
19-07-2019,5513937260
20-07-2019,5804085930
21-07-2019,5744869635
22-07-2019,5561548261
23-07-2019,5347064857
24-07-2019,5424049391
