Date,MarketCap
01-12-2018,116442288
02-12-2018,110480027
03-12-2018,100968609
04-12-2018,100734096
05-12-2018,89814396
06-12-2018,77956051
07-12-2018,75763778
08-12-2018,79898994
09-12-2018,83926770
10-12-2018,76675209
11-12-2018,78186886
12-12-2018,79365652
13-12-2018,71993569
14-12-2018,71026150
15-12-2018,71174852
16-12-2018,72408560
17-12-2018,81697552
18-12-2018,94578831
19-12-2018,103720962
20-12-2018,118477117
21-12-2018,104469142
22-12-2018,108957073
23-12-2018,109641510
24-12-2018,107783370
25-12-2018,111181784
26-12-2018,107654193
27-12-2018,96309875
28-12-2018,104432787
29-12-2018,104989447
30-12-2018,104525175
31-12-2018,101305557
01-01-2019,104779850
02-01-2019,110771092
03-01-2019,128091007
04-01-2019,153011387
05-01-2019,138581888
06-01-2019,138953564
07-01-2019,131765950
08-01-2019,148469448
09-01-2019,140631739
10-01-2019,124111323
11-01-2019,155467564
12-01-2019,144285540
13-01-2019,155491200
14-01-2019,169981024
15-01-2019,181578132
16-01-2019,174080781
17-01-2019,169054158
18-01-2019,175256028
19-01-2019,172014468
20-01-2019,171542899
21-01-2019,176194054
22-01-2019,189117145
23-01-2019,178491610
24-01-2019,176484747
25-01-2019,167842286
26-01-2019,165252211
27-01-2019,151812147
28-01-2019,144721540
29-01-2019,159332250
30-01-2019,149425068
31-01-2019,135691624
01-02-2019,146742214
02-02-2019,145224462
03-02-2019,138649652
04-02-2019,138058129
05-02-2019,147621682
06-02-2019,139866994
07-02-2019,140515984
08-02-2019,152781612
09-02-2019,162516967
10-02-2019,158265149
11-02-2019,150307799
12-02-2019,148888416
13-02-2019,155415427
14-02-2019,149931672
15-02-2019,151539099
16-02-2019,154178777
17-02-2019,160124725
18-02-2019,166016565
19-02-2019,160354681
20-02-2019,163138410
21-02-2019,155911935
22-02-2019,158210223
23-02-2019,161661081
24-02-2019,143724138
25-02-2019,164723462
26-02-2019,153101366
27-02-2019,151017630
28-02-2019,149597202
01-03-2019,151124739
02-03-2019,149725369
03-03-2019,148459049
04-03-2019,142733863
05-03-2019,151549045
06-03-2019,151137385
07-03-2019,159541169
08-03-2019,163170755
09-03-2019,167109642
10-03-2019,175618843
11-03-2019,163621430
12-03-2019,170993152
13-03-2019,169578470
14-03-2019,171884118
15-03-2019,171530373
16-03-2019,169959638
17-03-2019,169289685
18-03-2019,168249917
19-03-2019,169886753
20-03-2019,170130073
21-03-2019,161371279
22-03-2019,163256018
23-03-2019,162079235
24-03-2019,159741728
25-03-2019,166738405
26-03-2019,162260295
27-03-2019,174954769
28-03-2019,176210776
29-03-2019,174825731
30-03-2019,172997221
31-03-2019,177664598
01-04-2019,194648237
02-04-2019,204497754
03-04-2019,197908509
04-04-2019,189784007
05-04-2019,202113893
06-04-2019,199538351
07-04-2019,201991507
08-04-2019,199114822
09-04-2019,187137933
10-04-2019,182089916
11-04-2019,170142918
12-04-2019,173372567
13-04-2019,188722677
14-04-2019,185059171
15-04-2019,172274842
16-04-2019,176068779
17-04-2019,175090817
18-04-2019,183526781
19-04-2019,179994496
20-04-2019,180481253
21-04-2019,174824315
22-04-2019,173832277
23-04-2019,168519003
24-04-2019,167409434
25-04-2019,155927053
26-04-2019,152924256
27-04-2019,154549706
28-04-2019,156876126
29-04-2019,151725351
30-04-2019,165609469
01-05-2019,166608665
02-05-2019,162197465
03-05-2019,179257760
04-05-2019,173248139
05-05-2019,177442700
06-05-2019,202342028
07-05-2019,190653521
08-05-2019,207038074
09-05-2019,223947011
10-05-2019,235011049
11-05-2019,237588178
12-05-2019,230296513
13-05-2019,226343857
14-05-2019,288078581
15-05-2019,295950928
16-05-2019,324143612
17-05-2019,310705812
18-05-2019,326954044
19-05-2019,348022497
20-05-2019,395128179
21-05-2019,415073110
22-05-2019,427015235
23-05-2019,470746721
24-05-2019,467935969
25-05-2019,395259087
26-05-2019,380472881
27-05-2019,423853821
28-05-2019,446386194
29-05-2019,413975944
30-05-2019,358662835
31-05-2019,357531895
01-06-2019,337796271
02-06-2019,354351973
03-06-2019,318839080
04-06-2019,309137609
05-06-2019,376991267
06-06-2019,391871524
07-06-2019,412164418
08-06-2019,403416987
09-06-2019,375638528
10-06-2019,417100427
11-06-2019,398406699
12-06-2019,399965629
13-06-2019,646771978
14-06-2019,586795264
15-06-2019,602456049
16-06-2019,585701350
17-06-2019,690072343
18-06-2019,636487947
19-06-2019,643454346
20-06-2019,617942688
21-06-2019,596004725
22-06-2019,643493677
23-06-2019,630481077
24-06-2019,651116941
25-06-2019,766399120
26-06-2019,791545865
27-06-2019,793662091
28-06-2019,1036638992
29-06-2019,1296103164
30-06-2019,1206411075
01-07-2019,1257190706
02-07-2019,1275902459
03-07-2019,1236607323
04-07-2019,1219711940
05-07-2019,1267753706
06-07-2019,1216907978
07-07-2019,1160024637
08-07-2019,1167515193
09-07-2019,1089532123
10-07-2019,1091411807
11-07-2019,989498969
12-07-2019,1110847783
13-07-2019,1109669612
14-07-2019,975583149
15-07-2019,954972344
16-07-2019,769177557
17-07-2019,832896515
18-07-2019,937681898
19-07-2019,913097864
20-07-2019,925624353
21-07-2019,892624348
22-07-2019,849005263
23-07-2019,829846812
24-07-2019,841888630
25-07-2019,834488658
26-07-2019,841246588
27-07-2019,790468087
28-07-2019,776205287
29-07-2019,749106534
30-07-2019,731198581
31-07-2019,768893256
01-08-2019,763440117
02-08-2019,839928316
03-08-2019,848917776
04-08-2019,874189201
05-08-2019,869531173
06-08-2019,861234531
07-08-2019,837149418
08-08-2019,801179369
09-08-2019,762704421
10-08-2019,812899281
11-08-2019,838892496
12-08-2019,832992225
13-08-2019,844577979
14-08-2019,794901897
15-08-2019,844460611
16-08-2019,812662694
17-08-2019,837686344
18-08-2019,874873977
19-08-2019,876803143
20-08-2019,833161949
21-08-2019,775709885
22-08-2019,780353505
23-08-2019,788655768
24-08-2019,764817282
25-08-2019,729777073
26-08-2019,726896842
27-08-2019,737513471
28-08-2019,665135295
29-08-2019,624201412
30-08-2019,632233170
31-08-2019,626580727
01-09-2019,621326044
02-09-2019,641721122
03-09-2019,649140668
04-09-2019,624835582
05-09-2019,629259272
06-09-2019,606023566
07-09-2019,621936130
08-09-2019,640837508
09-09-2019,628912446
10-09-2019,630745598
11-09-2019,607189371
12-09-2019,597673768
13-09-2019,553326582
14-09-2019,547786749
15-09-2019,566133842
16-09-2019,553502262
17-09-2019,570303195
18-09-2019,633437288
19-09-2019,656554430
20-09-2019,639712666
21-09-2019,661291923
22-09-2019,637490132
23-09-2019,632571593
24-09-2019,607533240
25-09-2019,616065986
26-09-2019,580641588
27-09-2019,584556447
28-09-2019,590578652
29-09-2019,601027004
30-09-2019,617227495
01-10-2019,643757763
02-10-2019,705830998
03-10-2019,682863179
04-10-2019,692586222
05-10-2019,688101396
06-10-2019,765835879
07-10-2019,840650623
08-10-2019,902338849
09-10-2019,981348417
10-10-2019,922420687
11-10-2019,970326221
12-10-2019,912493135
13-10-2019,874110354
14-10-2019,888883511
15-10-2019,838177179
16-10-2019,836937086
17-10-2019,848439470
18-10-2019,825498606
19-10-2019,825810063
20-10-2019,854512429
21-10-2019,921215529
22-10-2019,911941836
23-10-2019,914374505
24-10-2019,963071165
25-10-2019,993331438
26-10-2019,963198914
27-10-2019,936411528
28-10-2019,935190881
29-10-2019,934515459
30-10-2019,918473995
31-10-2019,958275491
01-11-2019,952007823
02-11-2019,948628146
03-11-2019,935129239
04-11-2019,940363180
05-11-2019,938931715
06-11-2019,959075304
07-11-2019,941759562
08-11-2019,950824378
09-11-2019,981382996
10-11-2019,973925991
11-11-2019,962614077
12-11-2019,986233985
13-11-2019,1056401597
14-11-2019,1072062494
15-11-2019,1062303298
16-11-2019,1053615962
17-11-2019,1026161955
18-11-2019,989313501
19-11-2019,964799660
20-11-2019,947893228
21-11-2019,892383619
22-11-2019,823152707
23-11-2019,856598472
24-11-2019,789526615
25-11-2019,796272797
26-11-2019,796749927
27-11-2019,780208040
28-11-2019,795173797
29-11-2019,819917110
30-11-2019,784726634
01-12-2019,758496044
02-12-2019,733241502
03-12-2019,745494808
04-12-2019,717028178
05-12-2019,709032623
06-12-2019,732354664
07-12-2019,721417209
08-12-2019,720652032
09-12-2019,731861045
10-12-2019,794729934
11-12-2019,762317077
12-12-2019,741674953
13-12-2019,727058616
14-12-2019,703740129
15-12-2019,730394059
16-12-2019,693554053
17-12-2019,614723071
18-12-2019,658252398
19-12-2019,637172404
20-12-2019,673201642
21-12-2019,655789073
22-12-2019,677398756
23-12-2019,656897477
24-12-2019,652092016
25-12-2019,631665436
26-12-2019,651630010
27-12-2019,660276978
28-12-2019,656018147
29-12-2019,665841559
30-12-2019,643640851
31-12-2019,619314954
