Date,MarketCap
01-12-2018,691761389
02-12-2018,686750930
03-12-2018,668286590
04-12-2018,769203427
05-12-2018,782739422
06-12-2018,647677223
07-12-2018,592344303
08-12-2018,614811505
09-12-2018,635567539
10-12-2018,616360814
11-12-2018,646239850
12-12-2018,657022817
13-12-2018,608308845
14-12-2018,592960009
15-12-2018,596838783
16-12-2018,607596554
17-12-2018,668386725
18-12-2018,732511504
19-12-2018,718336896
20-12-2018,757623268
21-12-2018,728178645
22-12-2018,775715534
23-12-2018,792514008
24-12-2018,803751864
25-12-2018,725618989
26-12-2018,747270233
27-12-2018,690025211
28-12-2018,786342938
29-12-2018,762866028
30-12-2018,784234812
31-12-2018,806342664
01-01-2019,794641454
02-01-2019,809466354
03-01-2019,772178241
04-01-2019,793315820
05-01-2019,793368779
06-01-2019,836589632
07-01-2019,822912212
08-01-2019,868514466
09-01-2019,868710100
10-01-2019,773798122
11-01-2019,794650511
12-01-2019,781782829
13-01-2019,728389539
14-01-2019,805629865
15-01-2019,774207426
16-01-2019,799081409
17-01-2019,829026635
18-01-2019,847783881
19-01-2019,857137442
20-01-2019,838848751
21-01-2019,846490209
22-01-2019,842637433
23-01-2019,844988795
24-01-2019,840388816
25-01-2019,870297268
26-01-2019,905076469
27-01-2019,915621569
28-01-2019,801686639
29-01-2019,798520266
30-01-2019,797597771
31-01-2019,809728264
01-02-2019,847729319
02-02-2019,890238048
03-02-2019,870405723
04-02-2019,917210595
05-02-2019,1010127808
06-02-2019,1141569622
07-02-2019,1091332443
08-02-2019,1210659827
09-02-2019,1252418196
10-02-2019,1300443647
11-02-2019,1348481387
12-02-2019,1318830505
13-02-2019,1262260337
14-02-2019,1239809925
15-02-2019,1309237748
16-02-2019,1288826514
17-02-2019,1301079823
18-02-2019,1360146167
19-02-2019,1491247773
20-02-2019,1548138352
21-02-2019,1481339199
22-02-2019,1529935070
23-02-2019,1522126090
24-02-2019,1427720907
25-02-2019,1389450859
26-02-2019,1344215777
27-02-2019,1397514790
28-02-2019,1463309043
01-03-2019,1608442973
02-03-2019,1675716941
03-03-2019,1628869047
04-03-2019,1630004462
05-03-2019,1949911246
06-03-2019,2049578132
07-03-2019,2138227830
08-03-2019,2028259194
09-03-2019,2056345113
10-03-2019,2046259504
11-03-2019,2049079581
12-03-2019,2174968137
13-03-2019,2133885107
14-03-2019,2124846987
15-03-2019,2128517331
16-03-2019,2275609084
17-03-2019,2225087469
18-03-2019,2213915702
19-03-2019,2215550960
