Date,MarketCap
01-12-2018,2039473601
02-12-2018,2002705712
03-12-2018,1846319082
04-12-2018,1853542250
05-12-2018,1741570136
06-12-2018,1602141067
07-12-2018,1503108920
08-12-2018,1479137860
09-12-2018,1543919019
10-12-2018,1465168782
11-12-2018,1416941471
12-12-2018,1458445719
13-12-2018,1409664572
14-12-2018,1397818608
15-12-2018,1417098012
16-12-2018,1525579986
17-12-2018,1744804499
18-12-2018,1797254323
19-12-2018,1770286212
20-12-2018,1957741036
21-12-2018,1837728497
22-12-2018,1901410380
23-12-2018,1997631552
24-12-2018,1982394885
25-12-2018,1859663792
26-12-2018,1851236647
27-12-2018,1690851757
28-12-2018,1943259589
29-12-2018,1887178390
30-12-2018,1912263648
31-12-2018,1822504811
01-01-2019,1913387274
02-01-2019,2000859669
03-01-2019,1917129494
04-01-2019,1940204515
05-01-2019,2092365506
06-01-2019,2354185201
07-01-2019,2265284886
08-01-2019,2366141319
09-01-2019,2337068756
10-01-2019,2030671878
11-01-2019,1938944919
12-01-2019,1942860854
13-01-2019,1820214944
14-01-2019,1942198294
15-01-2019,1891520613
16-01-2019,1910976281
17-01-2019,1915371847
18-01-2019,1881176121
19-01-2019,1956101651
20-01-2019,1873953844
21-01-2019,1876573922
22-01-2019,1905392084
23-01-2019,1924964952
24-01-2019,1971999182
25-01-2019,1984872676
26-01-2019,1995530698
27-01-2019,1962484749
28-01-2019,1878928921
29-01-2019,1873246050
30-01-2019,1923945742
31-01-2019,1907587556
01-02-2019,1978856939
02-02-2019,2073872814
03-02-2019,2016740848
04-02-2019,2057598930
05-02-2019,2067028132
06-02-2019,1987640111
07-02-2019,2005595915
08-02-2019,2624516069
09-02-2019,2705200909
10-02-2019,2828937241
11-02-2019,2609389133
12-02-2019,2655115121
13-02-2019,2539018995
14-02-2019,2518031066
15-02-2019,2582708735
16-02-2019,2637500546
17-02-2019,2658324155
18-02-2019,2908055843
19-02-2019,2897971715
20-02-2019,3136141808
21-02-2019,2977341432
22-02-2019,3017677753
23-02-2019,3132087064
24-02-2019,2708358746
25-02-2019,2802048987
26-02-2019,2758957944
27-02-2019,2765113387
28-02-2019,2805515464
01-03-2019,2882042603
