Date,MarketCap
01-12-2018,1075155852
02-12-2018,1080429209
03-12-2018,1002625724
04-12-2018,977433742
05-12-2018,888035722
06-12-2018,798494898
07-12-2018,774280073
08-12-2018,795394849
09-12-2018,821695910
10-12-2018,783071164
11-12-2018,766165271
12-12-2018,793596929
13-12-2018,756817501
14-12-2018,735240139
15-12-2018,733050648
16-12-2018,754560639
17-12-2018,851032497
18-12-2018,900577014
19-12-2018,895652795
20-12-2018,1021545369
21-12-2018,1057728023
22-12-2018,1089171594
23-12-2018,1146761807
24-12-2018,1185292600
25-12-2018,1076264960
26-12-2018,1068154537
27-12-2018,957851765
28-12-2018,1085348670
29-12-2018,1076193322
30-12-2018,1122116468
31-12-2018,1064641798
01-01-2019,1103113660
02-01-2019,1173420170
03-01-2019,1106608705
04-01-2019,1135911589
05-01-2019,1158975656
06-01-2019,1277183981
07-01-2019,1244393599
08-01-2019,1258115426
09-01-2019,1352599204
10-01-2019,1154512658
11-01-2019,1144607284
12-01-2019,1133124203
13-01-2019,1043328640
14-01-2019,1142310312
15-01-2019,1109941703
16-01-2019,1160927551
17-01-2019,1174964368
18-01-2019,1148980462
19-01-2019,1186172183
20-01-2019,1127226431
21-01-2019,1113231795
22-01-2019,1129838202
23-01-2019,1112274745
24-01-2019,1115551802
25-01-2019,1106850088
26-01-2019,1105756797
27-01-2019,1067363755
28-01-2019,1005243462
29-01-2019,991726129
30-01-2019,1028152445
31-01-2019,994926538
01-02-2019,1002816588
02-02-2019,1019386721
03-02-2019,985988168
04-02-2019,981529402
05-02-2019,982536658
06-02-2019,950565914
07-02-2019,943648357
08-02-2019,1056553129
09-02-2019,1064517700
10-02-2019,1110446760
11-02-2019,1082007683
12-02-2019,1082479800
13-02-2019,1066068502
14-02-2019,1051089780
15-02-2019,1052637738
16-02-2019,1063679166
17-02-2019,1074721071
18-02-2019,1182410903
19-02-2019,1196753168
20-02-2019,1232864520
21-02-2019,1165921115
22-02-2019,1196867488
23-02-2019,1259878821
24-02-2019,1100757852
25-02-2019,1141916266
26-02-2019,1122751733
27-02-2019,1121874468
28-02-2019,1118064552
01-03-2019,1122108426
02-03-2019,1110675717
03-03-2019,1097017920
04-03-2019,1052691797
05-03-2019,1120354028
06-03-2019,1110799547
07-03-2019,1113412524
08-03-2019,1106144503
09-03-2019,1211517758
10-03-2019,1184820250
11-03-2019,1234989220
12-03-2019,1228861553
13-03-2019,1207931190
14-03-2019,1245938291
15-03-2019,1298350928
16-03-2019,1338373269
17-03-2019,1301710902
18-03-2019,1308074595
19-03-2019,1363600697
20-03-2019,1397240955
21-03-2019,1371535198
22-03-2019,1505389455
23-03-2019,1653644986
24-03-2019,1599795321
25-03-2019,1530346052
26-03-2019,1617074185
27-03-2019,1752535163
28-03-2019,1706724371
29-03-2019,1848311707
30-03-2019,1859991057
31-03-2019,1808312387
01-04-2019,1875296477
02-04-2019,2215912840
03-04-2019,2352181939
04-04-2019,2265240087
05-04-2019,2365234817
06-04-2019,2340932226
07-04-2019,2345996894
08-04-2019,2255876188
09-04-2019,2171369401
10-04-2019,2332498044
11-04-2019,2161932600
12-04-2019,2163952243
13-04-2019,2170900032
14-04-2019,2194550264
15-04-2019,2133983896
16-04-2019,2172245015
17-04-2019,2153869869
18-04-2019,2120197588
19-04-2019,2061207560
20-04-2019,1983585079
21-04-2019,1921361012
22-04-2019,2023336836
23-04-2019,1932178857
24-04-2019,1883467318
25-04-2019,1795286337
26-04-2019,1794657446
27-04-2019,1819967619
28-04-2019,1778363782
29-04-2019,1675705398
30-04-2019,1823858101
01-05-2019,1789340578
02-05-2019,1778049850
03-05-2019,1811204684
04-05-2019,1734006640
05-05-2019,1714978394
06-05-2019,1731421229
07-05-2019,1660270104
08-05-2019,1675057091
09-05-2019,1599479075
10-05-2019,1644492023
11-05-2019,1948954438
12-05-2019,1817119315
13-05-2019,1894538319
14-05-2019,2190969359
15-05-2019,2435864142
16-05-2019,2285757763
17-05-2019,2158684320
18-05-2019,2050923758
19-05-2019,2255549028
20-05-2019,2199862357
21-05-2019,2193873581
22-05-2019,2021133888
23-05-2019,2092055880
24-05-2019,2096685245
25-05-2019,2087176301
26-05-2019,2230096452
27-05-2019,2377380307
28-05-2019,2406421935
29-05-2019,2355927837
