Category: All categories

Week,Bitcoin: (Worldwide)
2013-01-06,4
2013-01-13,3
2013-01-20,4
2013-01-27,5
2013-02-03,5
2013-02-10,6
2013-02-17,7
2013-02-24,7
2013-03-03,9
2013-03-10,10
2013-03-17,16
2013-03-24,25
2013-03-31,40
2013-04-07,78
2013-04-14,41
2013-04-21,25
2013-04-28,22
2013-05-05,18
2013-05-12,18
2013-05-19,15
2013-05-26,15
2013-06-02,13
2013-06-09,12
2013-06-16,11
2013-06-23,11
2013-06-30,15
2013-07-07,11
2013-07-14,9
2013-07-21,10
2013-07-28,11
2013-08-04,10
2013-08-11,12
2013-08-18,13
2013-08-25,11
2013-09-01,10
2013-09-08,9
2013-09-15,9
2013-09-22,9
2013-09-29,17
2013-10-06,12
2013-10-13,11
2013-10-20,15
2013-10-27,35
2013-11-03,34
2013-11-10,37
2013-11-17,82
2013-11-24,100
2013-12-01,98
2013-12-08,69
2013-12-15,73
2013-12-22,48
2013-12-29,40
2014-01-05,48
2014-01-12,44
2014-01-19,46
2014-01-26,46
2014-02-02,39
2014-02-09,49
2014-02-16,42
2014-02-23,75
2014-03-02,61
2014-03-09,33
2014-03-16,29
2014-03-23,29
2014-03-30,26
2014-04-06,24
2014-04-13,22
2014-04-20,20
2014-04-27,18
2014-05-04,17
2014-05-11,16
2014-05-18,18
2014-05-25,20
2014-06-01,19
2014-06-08,19
2014-06-15,18
2014-06-22,15
2014-06-29,17
2014-07-06,17
2014-07-13,17
2014-07-20,16
2014-07-27,15
2014-08-03,16
2014-08-10,19
2014-08-17,18
2014-08-24,15
2014-08-31,17
2014-09-07,18
2014-09-14,16
2014-09-21,17
2014-09-28,17
2014-10-05,19
2014-10-12,17
2014-10-19,15
2014-10-26,14
2014-11-02,16
2014-11-09,17
2014-11-16,16
2014-11-23,14
2014-11-30,15
2014-12-07,17
2014-12-14,16
2014-12-21,18
2014-12-28,15
2015-01-04,18
2015-01-11,20
2015-01-18,17
2015-01-25,17
2015-02-01,16
2015-02-08,16
2015-02-15,17
2015-02-22,14
2015-03-01,16
2015-03-08,17
2015-03-15,15
2015-03-22,14
2015-03-29,15
2015-04-05,14
2015-04-12,14
2015-04-19,14
2015-04-26,13
2015-05-03,13
2015-05-10,14
2015-05-17,14
2015-05-24,13
2015-05-31,13
2015-06-07,13
2015-06-14,16
2015-06-21,13
2015-06-28,16
2015-07-05,17
2015-07-12,16
2015-07-19,14
2015-07-26,16
2015-08-02,16
2015-08-09,14
2015-08-16,17
2015-08-23,16
2015-08-30,14
2015-09-06,14
2015-09-13,14
2015-09-20,14
2015-09-27,13
2015-10-04,14
2015-10-11,13
2015-10-18,15
2015-10-25,17
2015-11-01,29
2015-11-08,20
2015-11-15,18
2015-11-22,17
2015-11-29,17
2015-12-06,26
2015-12-13,20
2015-12-20,18
2015-12-27,18
2016-01-03,19
2016-01-10,20
2016-01-17,20
2016-01-24,17
2016-01-31,16
2016-02-07,17
2016-02-14,19
2016-02-21,17
2016-02-28,17
2016-03-06,17
2016-03-13,16
2016-03-20,16
2016-03-27,16
2016-04-03,15
2016-04-10,16
2016-04-17,17
2016-04-24,19
2016-05-01,28
2016-05-08,19
2016-05-15,17
2016-05-22,17
2016-05-29,23
2016-06-05,22
2016-06-12,31
2016-06-19,31
2016-06-26,24
2016-07-03,24
2016-07-10,20
2016-07-17,18
2016-07-24,18
2016-07-31,25
2016-08-07,18
2016-08-14,17
2016-08-21,17
2016-08-28,17
2016-09-04,19
2016-09-11,18
2016-09-18,18
2016-09-25,17
2016-10-02,18
2016-10-09,19
2016-10-16,18
2016-10-23,22
2016-10-30,24
2016-11-06,23
2016-11-13,23
2016-11-20,23
2016-11-27,24
2016-12-04,23
2016-12-11,22
2016-12-18,29
2016-12-25,33
2017-01-01,51
