Category: All categories

Day,Bitcoin: (Worldwide)
2015-01-01,49
2015-01-02,57
2015-01-03,57
2015-01-04,70
2015-01-05,64
2015-01-06,75
2015-01-07,62
2015-01-08,57
2015-01-09,57
2015-01-10,56
2015-01-11,52
2015-01-12,54
2015-01-13,68
2015-01-14,100
2015-01-15,86
2015-01-16,73
2015-01-17,58
2015-01-18,56
2015-01-19,56
2015-01-20,56
2015-01-21,61
2015-01-22,58
2015-01-23,55
2015-01-24,55
2015-01-25,55
2015-01-26,76
2015-01-27,65
2015-01-28,60
2015-01-29,59
2015-01-30,52
2015-01-31,49
2015-02-01,56
2015-02-02,48
2015-02-03,56
2015-02-04,52
2015-02-05,56
2015-02-06,56
2015-02-07,60
2015-02-08,63
2015-02-09,64
2015-02-10,55
2015-02-11,58
2015-02-12,55
2015-02-13,52
2015-02-14,52
2015-02-15,56
2015-02-16,54
2015-02-17,53
2015-02-18,57
2015-02-19,57
2015-02-20,82
2015-02-21,54
2015-02-22,55
2015-02-23,54
2015-02-24,51
2015-02-25,50
2015-02-26,52
2015-02-27,52
2015-02-28,47
2015-03-01,52
2015-03-02,51
2015-03-03,55
2015-03-04,56
2015-03-05,59
2015-03-06,65
2015-03-07,64
2015-03-08,56
2015-03-09,58
2015-03-10,62
2015-03-11,63
2015-03-12,55
2015-03-13,57
2015-03-14,51
2015-03-15,53
2015-03-16,51
2015-03-17,54
2015-03-18,53
2015-03-19,57
2015-03-20,51
2015-03-21,50
2015-03-22,50
2015-03-23,52
2015-03-24,52
2015-03-25,55
2015-03-26,52
2015-03-27,50
2015-03-28,41
2015-03-29,48
2015-03-30,56
2015-03-31,52
2015-04-01,54
2015-04-02,52
2015-04-03,52
2015-04-04,45
2015-04-05,48
2015-04-06,49
2015-04-07,52
2015-04-08,49
2015-04-09,51
2015-04-10,47
2015-04-11,44
2015-04-12,46
2015-04-13,47
2015-04-14,55
2015-04-15,48
2015-04-16,48
2015-04-17,49
2015-04-18,45
2015-04-19,41
2015-04-20,47
2015-04-21,48
2015-04-22,50
2015-04-23,53
2015-04-24,48
2015-04-25,39
2015-04-26,47
2015-04-27,47
2015-04-28,44
2015-04-29,49
2015-04-30,53
2015-05-01,44
2015-05-02,43
2015-05-03,40
2015-05-04,44
2015-05-05,45
2015-05-06,43
2015-05-07,42
2015-05-08,46
2015-05-09,39
2015-05-10,40
2015-05-11,45
2015-05-12,45
2015-05-13,47
2015-05-14,55
2015-05-15,49
2015-05-16,45
2015-05-17,47
2015-05-18,45
2015-05-19,51
2015-05-20,52
2015-05-21,50
2015-05-22,51
2015-05-23,45
2015-05-24,47
2015-05-25,48
2015-05-26,49
2015-05-27,47
2015-05-28,45
2015-05-29,51
2015-05-30,61
2015-05-31,52
2015-06-01,49
2015-06-02,45
2015-06-03,48
2015-06-04,45
2015-06-05,44
2015-06-06,43
2015-06-07,43
2015-06-08,42
2015-06-09,42
2015-06-10,46
2015-06-11,41
2015-06-12,43
2015-06-13,41
2015-06-14,42
2015-06-15,45
2015-06-16,53
2015-06-17,50
2015-06-18,94
2015-06-19,58
2015-06-20,55
2015-06-21,46
2015-06-22,49
2015-06-23,48
2015-06-24,42
2015-06-25,51
2015-06-26,40
2015-06-27,48
2015-06-28,46
2015-06-29,56
2015-06-30,72
2015-07-01,63
2015-07-02,56
2015-07-03,53
2015-07-04,56
2015-07-05,60
2015-07-06,64
2015-07-07,60
2015-07-08,60
2015-07-09,61
2015-07-10,62
2015-07-11,59
2015-07-12,65
2015-07-13,59
2015-07-14,54
2015-07-15,52
2015-07-16,54
2015-07-17,51
2015-07-18,52
2015-07-19,54
2015-07-20,51
2015-07-21,56
2015-07-22,51
2015-07-23,46
2015-07-24,47
2015-07-25,48
2015-07-26,52
2015-07-27,57
2015-07-28,50
2015-07-29,52
2015-07-30,46
2015-07-31,49
2015-08-01,76
2015-08-02,65
2015-08-03,58
2015-08-04,56
2015-08-05,54
2015-08-06,50
2015-08-07,48
2015-08-08,50
2015-08-09,49
2015-08-10,46
2015-08-11,48
2015-08-12,48
2015-08-13,45
2015-08-14,48
2015-08-15,45
2015-08-16,49
2015-08-17,51
2015-08-18,58
2015-08-19,73
2015-08-20,58
2015-08-21,57
2015-08-22,53
2015-08-23,56
2015-08-24,65
2015-08-25,63
2015-08-26,57
2015-08-27,51
2015-08-28,53
2015-08-29,46
2015-08-30,50
2015-08-31,49
2015-09-01,50
