Category: All categories

Day,bitcoin: (Worldwide)
2019-09-01,30
2019-09-02,35
2019-09-03,39
2019-09-04,33
2019-09-05,35
2019-09-06,35
2019-09-07,29
2019-09-08,28
2019-09-09,33
2019-09-10,30
2019-09-11,29
2019-09-12,31
2019-09-13,27
2019-09-14,26
2019-09-15,27
2019-09-16,29
2019-09-17,26
2019-09-18,29
2019-09-19,29
2019-09-20,28
2019-09-21,23
2019-09-22,24
2019-09-23,26
2019-09-24,41
2019-09-25,49
2019-09-26,43
2019-09-27,39
2019-09-28,31
2019-09-29,29
2019-09-30,36
2019-10-01,31
2019-10-02,32
2019-10-03,32
2019-10-04,28
2019-10-05,25
2019-10-06,25
2019-10-07,32
2019-10-08,29
2019-10-09,32
2019-10-10,31
2019-10-11,28
2019-10-12,24
2019-10-13,25
2019-10-14,27
2019-10-15,28
2019-10-16,27
2019-10-17,28
2019-10-18,28
2019-10-19,24
2019-10-20,24
2019-10-21,27
2019-10-22,27
2019-10-23,34
2019-10-24,30
2019-10-25,35
2019-10-26,50
2019-10-27,36
2019-10-28,37
2019-10-29,35
2019-10-30,32
2019-10-31,30
2019-11-01,30
2019-11-02,25
2019-11-03,26
2019-11-04,29
2019-11-05,30
2019-11-06,30
2019-11-07,27
2019-11-08,30
2019-11-09,26
2019-11-10,26
2019-11-11,27
2019-11-12,27
2019-11-13,28
2019-11-14,26
2019-11-15,25
2019-11-16,25
2019-11-17,25
2019-11-18,26
2019-11-19,29
2019-11-20,26
2019-11-21,32
2019-11-22,38
2019-11-23,28
2019-11-24,28
2019-11-25,41
2019-11-26,34
2019-11-27,30
2019-11-28,29
2019-11-29,27
2019-11-30,25
2019-12-01,25
2019-12-02,27
2019-12-03,27
2019-12-04,28
2019-12-05,27
2019-12-06,26
2019-12-07,23
2019-12-08,23
2019-12-09,26
2019-12-10,26
2019-12-11,24
2019-12-12,27
2019-12-13,25
2019-12-14,25
2019-12-15,25
2019-12-16,27
2019-12-17,32
2019-12-18,33
2019-12-19,30
2019-12-20,28
2019-12-21,23
2019-12-22,24
2019-12-23,29
2019-12-24,25
2019-12-25,26
2019-12-26,26
2019-12-27,25
2019-12-28,26
2019-12-29,24
2019-12-30,25
2019-12-31,24
2020-01-01,24
2020-01-02,27
2020-01-03,28
2020-01-04,27
2020-01-05,29
2020-01-06,30
2020-01-07,37
2020-01-08,41
2020-01-09,33
2020-01-10,31
2020-01-11,28
2020-01-12,26
2020-01-13,28
2020-01-14,40
2020-01-15,38
2020-01-16,33
2020-01-17,34
2020-01-18,32
2020-01-19,33
2020-01-20,32
2020-01-21,31
2020-01-22,30
2020-01-23,30
2020-01-24,28
2020-01-25,23
2020-01-26,24
2020-01-27,29
2020-01-28,34
2020-01-29,35
2020-01-30,35
2020-01-31,31
2020-02-01,30
2020-02-02,30
2020-02-03,31
2020-02-04,32
2020-02-05,35
2020-02-06,36
2020-02-07,34
2020-02-08,31
2020-02-09,42
2020-02-10,36
2020-02-11,40
2020-02-12,41
2020-02-13,40
2020-02-14,36
2020-02-15,35
2020-02-16,33
2020-02-17,35
2020-02-18,36
2020-02-19,35
2020-02-20,35
2020-02-21,31
2020-02-22,29
2020-02-23,30
2020-02-24,36
2020-02-25,35
2020-02-26,37
2020-02-27,34
2020-02-28,37
2020-02-29,30
2020-03-01,31
2020-03-02,31
2020-03-03,32
2020-03-04,32
2020-03-05,34
2020-03-06,33
2020-03-07,28
2020-03-08,30
2020-03-09,53
2020-03-10,41
2020-03-11,35
2020-03-12,78
2020-03-13,100
2020-03-14,66
2020-03-15,55
2020-03-16,71
2020-03-17,57
2020-03-18,57
2020-03-19,61
2020-03-20,61
2020-03-21,49
2020-03-22,47
2020-03-23,48
2020-03-24,50
2020-03-25,45
2020-03-26,42
2020-03-27,40
2020-03-28,42
2020-03-29,40
2020-03-30,39
2020-03-31,37
2020-04-01,39
2020-04-02,43
2020-04-03,40
2020-04-04,35
2020-04-05,35
2020-04-06,42
2020-04-07,42
2020-04-08,38
2020-04-09,36
2020-04-10,40
2020-04-11,37
2020-04-12,37
2020-04-13,36
2020-04-14,38
2020-04-15,36
2020-04-16,37
2020-04-17,37
2020-04-18,35
2020-04-19,35
2020-04-20,35
2020-04-21,35
2020-04-22,35
2020-04-23,40
2020-04-24,41
2020-04-25,39
2020-04-26,40
2020-04-27,39
2020-04-28,38
2020-04-29,54
2020-04-30,62
2020-05-01,50
