Category: All categories

Day,Blockchain: (Worldwide)
2015-01-01,35
2015-01-02,35
2015-01-03,45
2015-01-04,42
2015-01-05,46
2015-01-06,42
2015-01-07,47
2015-01-08,44
2015-01-09,52
2015-01-10,50
2015-01-11,37
2015-01-12,48
2015-01-13,58
2015-01-14,70
2015-01-15,54
2015-01-16,48
2015-01-17,30
2015-01-18,46
2015-01-19,39
2015-01-20,59
2015-01-21,61
2015-01-22,69
2015-01-23,45
2015-01-24,63
2015-01-25,40
2015-01-26,68
2015-01-27,57
2015-01-28,36
2015-01-29,42
2015-01-30,51
2015-01-31,55
2015-02-01,30
2015-02-02,35
2015-02-03,57
2015-02-04,44
2015-02-05,35
2015-02-06,57
2015-02-07,43
2015-02-08,53
2015-02-09,52
2015-02-10,34
2015-02-11,48
2015-02-12,48
2015-02-13,53
2015-02-14,61
2015-02-15,48
2015-02-16,28
2015-02-17,57
2015-02-18,54
2015-02-19,47
2015-02-20,47
2015-02-21,45
2015-02-22,52
2015-02-23,35
2015-02-24,42
2015-02-25,50
2015-02-26,42
2015-02-27,49
2015-02-28,62
2015-03-01,33
2015-03-02,39
2015-03-03,49
2015-03-04,39
2015-03-05,43
2015-03-06,45
2015-03-07,60
2015-03-08,41
2015-03-09,45
2015-03-10,46
2015-03-11,61
2015-03-12,41
2015-03-13,43
2015-03-14,33
2015-03-15,40
2015-03-16,35
2015-03-17,41
2015-03-18,31
2015-03-19,30
2015-03-20,40
2015-03-21,50
2015-03-22,42
2015-03-23,50
2015-03-24,48
2015-03-25,69
2015-03-26,71
2015-03-27,43
2015-03-28,37
2015-03-29,32
2015-03-30,45
2015-03-31,42
2015-04-01,53
2015-04-02,65
2015-04-03,45
2015-04-04,35
2015-04-05,45
2015-04-06,52
2015-04-07,55
2015-04-08,42
2015-04-09,53
2015-04-10,36
2015-04-11,29
2015-04-12,36
2015-04-13,44
2015-04-14,49
2015-04-15,38
2015-04-16,49
2015-04-17,39
2015-04-18,32
2015-04-19,43
2015-04-20,32
2015-04-21,37
2015-04-22,53
2015-04-23,34
2015-04-24,34
2015-04-25,34
2015-04-26,41
2015-04-27,41
2015-04-28,45
2015-04-29,30
2015-04-30,40
2015-05-01,44
2015-05-02,39
2015-05-03,35
2015-05-04,36
2015-05-05,42
2015-05-06,51
2015-05-07,42
2015-05-08,40
2015-05-09,38
2015-05-10,61
2015-05-11,67
2015-05-12,82
2015-05-13,52
2015-05-14,73
2015-05-15,50
2015-05-16,23
2015-05-17,41
2015-05-18,55
2015-05-19,47
2015-05-20,41
2015-05-21,33
2015-05-22,45
2015-05-23,36
2015-05-24,62
2015-05-25,49
2015-05-26,57
2015-05-27,63
2015-05-28,41
2015-05-29,50
2015-05-30,56
2015-05-31,40
2015-06-01,43
2015-06-02,34
2015-06-03,52
2015-06-04,57
2015-06-05,80
2015-06-06,78
2015-06-07,55
2015-06-08,81
2015-06-09,64
2015-06-10,60
2015-06-11,67
2015-06-12,55
2015-06-13,47
2015-06-14,55
2015-06-15,55
2015-06-16,57
2015-06-17,55
2015-06-18,43
2015-06-19,62
2015-06-20,59
2015-06-21,63
2015-06-22,61
2015-06-23,73
2015-06-24,59
2015-06-25,63
2015-06-26,44
2015-06-27,44
2015-06-28,53
2015-06-29,61
2015-06-30,53
2015-07-01,54
2015-07-02,49
2015-07-03,57
2015-07-04,54
2015-07-05,41
2015-07-06,85
2015-07-07,72
2015-07-08,58
2015-07-09,66
2015-07-10,57
2015-07-11,82
2015-07-12,62
2015-07-13,71
2015-07-14,71
2015-07-15,75
2015-07-16,85
2015-07-17,54
2015-07-18,42
2015-07-19,62
2015-07-20,63
2015-07-21,59
2015-07-22,74
2015-07-23,52
2015-07-24,60
2015-07-25,40
2015-07-26,54
2015-07-27,57
2015-07-28,74
2015-07-29,59
2015-07-30,52
2015-07-31,66
2015-08-01,61
2015-08-02,73
2015-08-03,73
2015-08-04,70
2015-08-05,72
2015-08-06,74
2015-08-07,51
2015-08-08,63
2015-08-09,36
2015-08-10,76
2015-08-11,62
2015-08-12,70
2015-08-13,63
2015-08-14,54
2015-08-15,52
2015-08-16,65
2015-08-17,63
2015-08-18,91
2015-08-19,66
2015-08-20,61
2015-08-21,58
2015-08-22,42
2015-08-23,54
2015-08-24,72
2015-08-25,56
2015-08-26,100
2015-08-27,65
2015-08-28,56
2015-08-29,62
2015-08-30,69
2015-08-31,71
2015-09-01,100
