Category: All categories

Week,ethereum: (Worldwide)
2013-01-06,<1
2013-01-13,1
2013-01-20,<1
2013-01-27,<1
2013-02-03,<1
2013-02-10,0
2013-02-17,0
2013-02-24,<1
2013-03-03,<1
2013-03-10,1
2013-03-17,0
2013-03-24,0
2013-03-31,1
2013-04-07,1
2013-04-14,1
2013-04-21,<1
2013-04-28,1
2013-05-05,1
2013-05-12,1
2013-05-19,<1
2013-05-26,1
2013-06-02,<1
2013-06-09,1
2013-06-16,0
2013-06-23,1
2013-06-30,<1
2013-07-07,0
2013-07-14,1
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,1
2013-09-01,1
2013-09-08,1
2013-09-15,<1
2013-09-22,0
2013-09-29,<1
2013-10-06,1
2013-10-13,0
2013-10-20,0
2013-10-27,1
2013-11-03,0
2013-11-10,1
2013-11-17,0
2013-11-24,<1
2013-12-01,1
2013-12-08,1
2013-12-15,1
2013-12-22,1
2013-12-29,1
2014-01-05,<1
2014-01-12,2
2014-01-19,4
2014-01-26,6
2014-02-02,5
2014-02-09,5
2014-02-16,3
2014-02-23,3
2014-03-02,5
2014-03-09,3
2014-03-16,2
2014-03-23,5
2014-03-30,2
2014-04-06,3
2014-04-13,3
2014-04-20,3
2014-04-27,3
2014-05-04,3
2014-05-11,4
2014-05-18,2
2014-05-25,1
2014-06-01,1
2014-06-08,1
2014-06-15,4
2014-06-22,1
2014-06-29,2
2014-07-06,2
2014-07-13,1
2014-07-20,6
2014-07-27,5
2014-08-03,7
2014-08-10,4
2014-08-17,2
2014-08-24,3
2014-08-31,3
2014-09-07,2
2014-09-14,3
2014-09-21,2
2014-09-28,2
2014-10-05,5
2014-10-12,1
2014-10-19,3
2014-10-26,1
2014-11-02,2
2014-11-09,2
2014-11-16,1
2014-11-23,3
2014-11-30,2
2014-12-07,2
2014-12-14,2
2014-12-21,4
2014-12-28,2
2015-01-04,4
2015-01-11,4
2015-01-18,2
2015-01-25,3
2015-02-01,1
2015-02-08,3
2015-02-15,2
2015-02-22,3
2015-03-01,2
2015-03-08,3
2015-03-15,3
2015-03-22,2
2015-03-29,3
2015-04-05,2
2015-04-12,3
2015-04-19,2
2015-04-26,3
2015-05-03,1
2015-05-10,4
2015-05-17,3
2015-05-24,4
2015-05-31,4
2015-06-07,4
2015-06-14,3
2015-06-21,4
2015-06-28,3
2015-07-05,3
2015-07-12,3
2015-07-19,4
2015-07-26,10
2015-08-02,15
2015-08-09,16
2015-08-16,12
2015-08-23,9
2015-08-30,7
2015-09-06,6
2015-09-13,7
2015-09-20,4
2015-09-27,4
2015-10-04,6
2015-10-11,7
2015-10-18,4
2015-10-25,8
2015-11-01,9
2015-11-08,9
2015-11-15,8
2015-11-22,9
2015-11-29,6
2015-12-06,8
2015-12-13,8
2015-12-20,6
2015-12-27,4
2016-01-03,8
2016-01-10,10
2016-01-17,15
2016-01-24,25
2016-01-31,17
2016-02-07,32
2016-02-14,24
2016-02-21,32
2016-02-28,49
2016-03-06,54
2016-03-13,69
2016-03-20,47
2016-03-27,52
2016-04-03,44
2016-04-10,38
2016-04-17,28
2016-04-24,33
2016-05-01,38
2016-05-08,43
2016-05-15,65
2016-05-22,66
2016-05-29,61
2016-06-05,44
2016-06-12,99
2016-06-19,100
2016-06-26,55
2016-07-03,48
2016-07-10,40
2016-07-17,60
2016-07-24,78
2016-07-31,59
2016-08-07,37
2016-08-14,34
2016-08-21,38
2016-08-28,38
2016-09-04,31
2016-09-11,32
2016-09-18,49
2016-09-25,40
2016-10-02,39
2016-10-09,39
2016-10-16,31
2016-10-23,31
2016-10-30,32
2016-11-06,36
2016-11-13,36
2016-11-20,30
2016-11-27,32
2016-12-04,37
2016-12-11,29
2016-12-18,28
2016-12-25,35
2017-01-01,48
