Category: All categories

Day,Mastercoin: (Worldwide)
2013-09-01,8
2013-09-02,10
2013-09-03,6
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,8
2013-09-08,0
2013-09-09,6
2013-09-10,0
2013-09-11,6
2013-09-12,0
2013-09-13,7
2013-09-14,0
2013-09-15,7
2013-09-16,0
2013-09-17,6
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,7
2013-09-22,7
2013-09-23,0
2013-09-24,6
2013-09-25,6
2013-09-26,0
2013-09-27,7
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,14
2013-10-07,0
2013-10-08,6
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,7
2013-10-13,0
2013-10-14,13
2013-10-15,6
2013-10-16,6
2013-10-17,6
2013-10-18,0
2013-10-19,0
2013-10-20,7
2013-10-21,0
2013-10-22,0
2013-10-23,6
2013-10-24,0
2013-10-25,0
2013-10-26,7
2013-10-27,0
2013-10-28,6
2013-10-29,6
2013-10-30,0
2013-10-31,6
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,6
2013-11-05,12
2013-11-06,6
2013-11-07,6
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,6
2013-11-12,6
2013-11-13,12
2013-11-14,0
2013-11-15,13
2013-11-16,7
2013-11-17,0
2013-11-18,10
2013-11-19,0
2013-11-20,0
2013-11-21,6
2013-11-22,9
2013-11-23,14
2013-11-24,10
2013-11-25,10
2013-11-26,12
2013-11-27,6
2013-11-28,0
2013-11-29,10
2013-11-30,7
2013-12-01,13
2013-12-02,6
2013-12-03,12
2013-12-04,6
2013-12-05,12
2013-12-06,8
2013-12-07,12
2013-12-08,14
2013-12-09,10
2013-12-10,9
2013-12-11,8
2013-12-12,12
2013-12-13,6
2013-12-14,0
2013-12-15,14
2013-12-16,6
2013-12-17,12
2013-12-18,6
2013-12-19,10
2013-12-20,7
2013-12-21,7
2013-12-22,15
2013-12-23,9
2013-12-24,7
2013-12-25,100
2013-12-26,53
2013-12-27,38
2013-12-28,29
2013-12-29,17
2013-12-30,13
2013-12-31,11
2014-01-01,10
2014-01-02,9
2014-01-03,0
2014-01-04,9
2014-01-05,11
2014-01-06,10
2014-01-07,9
2014-01-08,15
2014-01-09,18
2014-01-10,12
2014-01-11,11
2014-01-12,10
2014-01-13,11
2014-01-14,13
2014-01-15,13
2014-01-16,16
2014-01-17,6
2014-01-18,7
2014-01-19,17
2014-01-20,11
2014-01-21,9
2014-01-22,14
2014-01-23,6
2014-01-24,21
2014-01-25,7
2014-01-26,7
2014-01-27,6
2014-01-28,11
2014-01-29,9
2014-01-30,8
2014-01-31,12
2014-02-01,11
2014-02-02,20
2014-02-03,0
2014-02-04,6
2014-02-05,8
2014-02-06,12
2014-02-07,6
2014-02-08,9
2014-02-09,11
2014-02-10,11
2014-02-11,8
2014-02-12,11
2014-02-13,6
2014-02-14,15
2014-02-15,11
2014-02-16,13
2014-02-17,9
2014-02-18,11
2014-02-19,6
2014-02-20,0
2014-02-21,12
2014-02-22,7
2014-02-23,7
2014-02-24,6
2014-02-25,6
2014-02-26,8
2014-02-27,6
2014-02-28,12
2014-03-01,0
2014-03-02,10
2014-03-03,6
2014-03-04,10
2014-03-05,8
2014-03-06,6
2014-03-07,12
2014-03-08,7
2014-03-09,0
2014-03-10,10
2014-03-11,17
2014-03-12,8
2014-03-13,9
2014-03-14,6
2014-03-15,16
2014-03-16,13
2014-03-17,17
2014-03-18,8
2014-03-19,9
2014-03-20,0
2014-03-21,6
2014-03-22,0
2014-03-23,0
2014-03-24,11
2014-03-25,5
2014-03-26,8
2014-03-27,6
2014-03-28,9
2014-03-29,16
2014-03-30,9
2014-03-31,9
2014-04-01,6
2014-04-02,8
2014-04-03,12
2014-04-04,6
2014-04-05,9
2014-04-06,7
2014-04-07,11
2014-04-08,6
2014-04-09,11
2014-04-10,6
2014-04-11,6
2014-04-12,7
2014-04-13,14
2014-04-14,8
2014-04-15,6
2014-04-16,0
2014-04-17,0
2014-04-18,13
2014-04-19,14
2014-04-20,0
2014-04-21,9
2014-04-22,25
2014-04-23,9
2014-04-24,13
2014-04-25,18
2014-04-26,7
2014-04-27,0
2014-04-28,8
2014-04-29,8
2014-04-30,6
2014-05-01,6
