Category: All categories

Week,Mastercoin: (Worldwide)
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,4
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,0
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,4
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,4
2012-06-24,8
2012-07-01,0
2012-07-08,4
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,8
2012-09-09,0
2012-09-16,4
2012-09-23,4
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,4
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,3
2013-02-24,0
2013-03-03,0
2013-03-10,3
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,3
2013-05-19,0
2013-05-26,0
2013-06-02,3
2013-06-09,0
2013-06-16,3
2013-06-23,0
2013-06-30,3
2013-07-07,0
2013-07-14,3
2013-07-21,3
2013-07-28,0
2013-08-04,3
2013-08-11,7
2013-08-18,3
2013-08-25,9
2013-09-01,8
2013-09-08,5
2013-09-15,4
2013-09-22,0
2013-09-29,3
2013-10-06,3
2013-10-13,4
2013-10-20,6
2013-10-27,8
2013-11-03,9
2013-11-10,11
2013-11-17,19
2013-11-24,24
2013-12-01,21
2013-12-08,38
2013-12-15,18
2013-12-22,100
2013-12-29,34
2014-01-05,25
2014-01-12,28
2014-01-19,33
2014-01-26,16
2014-02-02,12
2014-02-09,14
2014-02-16,11
2014-02-23,16
2014-03-02,11
2014-03-09,25
2014-03-16,18
2014-03-23,15
2014-03-30,22
2014-04-06,18
2014-04-13,12
2014-04-20,35
2014-04-27,14
2014-05-04,3
2014-05-11,13
2014-05-18,8
2014-05-25,4
2014-06-01,10
2014-06-08,5
2014-06-15,5
2014-06-22,7
2014-06-29,6
2014-07-06,8
2014-07-13,5
2014-07-20,4
2014-07-27,7
2014-08-03,9
2014-08-10,3
2014-08-17,6
2014-08-24,6
2014-08-31,3
2014-09-07,5
2014-09-14,4
2014-09-21,5
2014-09-28,6
2014-10-05,5
2014-10-12,3
2014-10-19,5
2014-10-26,3
2014-11-02,3
2014-11-09,3
2014-11-16,6
2014-11-23,3
2014-11-30,6
2014-12-07,5
2014-12-14,5
2014-12-21,5
2014-12-28,6
2015-01-04,6
2015-01-11,6
2015-01-18,4
2015-01-25,3
2015-02-01,6
2015-02-08,4
2015-02-15,4
2015-02-22,3
2015-03-01,3
2015-03-08,3
2015-03-15,5
2015-03-22,6
2015-03-29,0
2015-04-05,3
2015-04-12,5
2015-04-19,4
2015-04-26,3
2015-05-03,4
2015-05-10,4
2015-05-17,3
2015-05-24,0
2015-05-31,3
2015-06-07,7
2015-06-14,6
2015-06-21,3
2015-06-28,3
2015-07-05,4
2015-07-12,3
2015-07-19,3
2015-07-26,5
2015-08-02,0
2015-08-09,3
2015-08-16,0
2015-08-23,3
2015-08-30,3
2015-09-06,3
2015-09-13,3
2015-09-20,3
2015-09-27,4
2015-10-04,0
2015-10-11,0
2015-10-18,4
2015-10-25,3
2015-11-01,3
2015-11-08,3
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,4
2015-12-20,3
2015-12-27,3
2016-01-03,4
2016-01-10,5
2016-01-17,3
2016-01-24,3
2016-01-31,0
2016-02-07,0
2016-02-14,3
2016-02-21,3
2016-02-28,0
2016-03-06,3
2016-03-13,3
2016-03-20,6
2016-03-27,5
2016-04-03,3
2016-04-10,0
2016-04-17,0
2016-04-24,4
2016-05-01,0
2016-05-08,3
2016-05-15,3
2016-05-22,4
2016-05-29,3
2016-06-05,3
2016-06-12,0
2016-06-19,3
2016-06-26,3
2016-07-03,3
2016-07-10,0
2016-07-17,3
2016-07-24,3
2016-07-31,3
2016-08-07,5
2016-08-14,3
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,3
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,4
2016-11-06,3
2016-11-13,3
2016-11-20,0
2016-11-27,0
2016-12-04,3
2016-12-11,3
2016-12-18,3
2016-12-25,3
2017-01-01,0
