Category: All categories

Week,peercoin: (Worldwide)
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,0
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,0
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,1
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,1
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,1
2013-10-06,1
2013-10-13,0
2013-10-20,0
2013-10-27,6
2013-11-03,11
2013-11-10,3
2013-11-17,21
2013-11-24,100
2013-12-01,62
2013-12-08,40
2013-12-15,33
2013-12-22,25
2013-12-29,34
2014-01-05,19
2014-01-12,21
2014-01-19,22
2014-01-26,17
2014-02-02,17
2014-02-09,16
2014-02-16,10
2014-02-23,15
2014-03-02,18
2014-03-09,9
2014-03-16,13
2014-03-23,12
2014-03-30,11
2014-04-06,13
2014-04-13,19
2014-04-20,8
2014-04-27,12
2014-05-04,6
2014-05-11,7
2014-05-18,3
2014-05-25,5
2014-06-01,10
2014-06-08,9
2014-06-15,5
2014-06-22,4
2014-06-29,7
2014-07-06,7
2014-07-13,8
2014-07-20,6
2014-07-27,5
2014-08-03,11
2014-08-10,2
2014-08-17,8
2014-08-24,3
2014-08-31,4
2014-09-07,7
2014-09-14,11
2014-09-21,11
2014-09-28,3
2014-10-05,8
2014-10-12,4
2014-10-19,5
2014-10-26,2
2014-11-02,4
2014-11-09,6
2014-11-16,8
2014-11-23,6
2014-11-30,5
2014-12-07,1
2014-12-14,9
2014-12-21,8
2014-12-28,5
2015-01-04,7
2015-01-11,3
2015-01-18,5
2015-01-25,4
2015-02-01,4
2015-02-08,8
2015-02-15,2
2015-02-22,3
2015-03-01,4
2015-03-08,8
2015-03-15,5
2015-03-22,5
2015-03-29,3
2015-04-05,3
2015-04-12,3
2015-04-19,2
2015-04-26,1
2015-05-03,3
2015-05-10,7
2015-05-17,3
2015-05-24,5
2015-05-31,4
2015-06-07,3
2015-06-14,5
2015-06-21,2
2015-06-28,2
2015-07-05,4
2015-07-12,2
2015-07-19,2
2015-07-26,3
2015-08-02,5
2015-08-09,1
2015-08-16,1
2015-08-23,5
2015-08-30,4
2015-09-06,1
2015-09-13,2
2015-09-20,4
2015-09-27,5
2015-10-04,6
2015-10-11,6
2015-10-18,1
2015-10-25,3
2015-11-01,3
2015-11-08,1
2015-11-15,4
2015-11-22,2
2015-11-29,5
2015-12-06,5
2015-12-13,3
2015-12-20,4
2015-12-27,5
2016-01-03,7
2016-01-10,9
2016-01-17,4
2016-01-24,9
2016-01-31,4
2016-02-07,1
2016-02-14,4
2016-02-21,5
2016-02-28,5
2016-03-06,6
2016-03-13,3
2016-03-20,3
2016-03-27,2
2016-04-03,4
2016-04-10,4
2016-04-17,1
2016-04-24,4
2016-05-01,5
2016-05-08,3
2016-05-15,2
2016-05-22,4
2016-05-29,4
2016-06-05,6
2016-06-12,8
2016-06-19,5
2016-06-26,6
2016-07-03,3
2016-07-10,1
2016-07-17,5
2016-07-24,4
2016-07-31,3
2016-08-07,2
2016-08-14,2
2016-08-21,1
2016-08-28,2
2016-09-04,4
2016-09-11,2
2016-09-18,0
2016-09-25,3
2016-10-02,2
2016-10-09,2
2016-10-16,3
2016-10-23,3
2016-10-30,2
2016-11-06,3
2016-11-13,2
2016-11-20,3
2016-11-27,3
2016-12-04,4
2016-12-11,1
2016-12-18,3
2016-12-25,2
2017-01-01,6
