Category: All categories

Day,ripple: (Worldwide)
2017-09-01,6
2017-09-02,4
2017-09-03,4
2017-09-04,4
2017-09-05,4
2017-09-06,4
2017-09-07,3
2017-09-08,3
2017-09-09,3
2017-09-10,3
2017-09-11,3
2017-09-12,3
2017-09-13,3
2017-09-14,4
2017-09-15,4
2017-09-16,3
2017-09-17,3
2017-09-18,3
2017-09-19,3
2017-09-20,3
2017-09-21,3
2017-09-22,3
2017-09-23,2
2017-09-24,2
2017-09-25,2
2017-09-26,3
2017-09-27,3
2017-09-28,3
2017-09-29,3
2017-09-30,3
2017-10-01,2
2017-10-02,2
2017-10-03,3
2017-10-04,3
2017-10-05,4
2017-10-06,4
2017-10-07,3
2017-10-08,4
2017-10-09,5
2017-10-10,4
2017-10-11,4
2017-10-12,4
2017-10-13,4
2017-10-14,4
2017-10-15,4
2017-10-16,7
2017-10-17,6
2017-10-18,6
2017-10-19,4
2017-10-20,4
2017-10-21,4
2017-10-22,3
2017-10-23,4
2017-10-24,4
2017-10-25,4
2017-10-26,4
2017-10-27,3
2017-10-28,3
2017-10-29,2
2017-10-30,3
2017-10-31,3
2017-11-01,4
2017-11-02,4
2017-11-03,5
2017-11-04,3
2017-11-05,4
2017-11-06,4
2017-11-07,4
2017-11-08,4
2017-11-09,4
2017-11-10,4
2017-11-11,3
2017-11-12,4
2017-11-13,4
2017-11-14,4
2017-11-15,4
2017-11-16,7
2017-11-17,6
2017-11-18,5
2017-11-19,5
2017-11-20,6
2017-11-21,5
2017-11-22,5
2017-11-23,5
2017-11-24,5
2017-11-25,6
2017-11-26,6
2017-11-27,7
2017-11-28,10
2017-11-29,12
2017-11-30,9
2017-12-01,8
2017-12-02,7
2017-12-03,8
2017-12-04,8
2017-12-05,8
2017-12-06,10
2017-12-07,11
2017-12-08,12
2017-12-09,10
2017-12-10,9
2017-12-11,11
2017-12-12,24
2017-12-13,46
2017-12-14,66
2017-12-15,55
2017-12-16,38
2017-12-17,33
2017-12-18,32
2017-12-19,35
2017-12-20,30
2017-12-21,56
2017-12-22,56
2017-12-23,34
2017-12-24,26
2017-12-25,23
2017-12-26,24
2017-12-27,37
2017-12-28,43
2017-12-29,79
2017-12-30,97
2017-12-31,53
2018-01-01,42
2018-01-02,51
2018-01-03,78
2018-01-04,100
2018-01-05,78
2018-01-06,55
2018-01-07,47
2018-01-08,61
2018-01-09,53
2018-01-10,58
2018-01-11,55
2018-01-12,38
2018-01-13,27
2018-01-14,25
2018-01-15,25
2018-01-16,40
2018-01-17,40
2018-01-18,34
2018-01-19,25
2018-01-20,18
2018-01-21,17
2018-01-22,19
2018-01-23,17
2018-01-24,17
2018-01-25,15
2018-01-26,15
2018-01-27,13
2018-01-28,13
2018-01-29,14
2018-01-30,14
2018-01-31,13
2018-02-01,15
2018-02-02,20
2018-02-03,13
2018-02-04,12
2018-02-05,15
2018-02-06,17
2018-02-07,13
2018-02-08,11
2018-02-09,13
2018-02-10,15
2018-02-11,11
2018-02-12,12
2018-02-13,10
2018-02-14,11
2018-02-15,13
2018-02-16,10
2018-02-17,11
2018-02-18,10
2018-02-19,10
2018-02-20,10
2018-02-21,9
2018-02-22,9
2018-02-23,8
2018-02-24,6
2018-02-25,6
2018-02-26,7
2018-02-27,8
2018-02-28,7
2018-03-01,7
2018-03-02,7
2018-03-03,6
2018-03-04,7
2018-03-05,12
2018-03-06,10
2018-03-07,8
2018-03-08,7
2018-03-09,8
2018-03-10,5
2018-03-11,5
2018-03-12,6
2018-03-13,7
2018-03-14,7
2018-03-15,7
2018-03-16,6
2018-03-17,6
2018-03-18,7
2018-03-19,6
2018-03-20,6
2018-03-21,6
2018-03-22,6
2018-03-23,5
2018-03-24,5
2018-03-25,5
2018-03-26,5
2018-03-27,5
2018-03-28,7
2018-03-29,7
2018-03-30,6
2018-03-31,5
2018-04-01,5
2018-04-02,5
2018-04-03,6
2018-04-04,5
2018-04-05,6
2018-04-06,5
2018-04-07,5
2018-04-08,4
2018-04-09,5
2018-04-10,4
2018-04-11,5
2018-04-12,7
2018-04-13,7
2018-04-14,5
2018-04-15,6
2018-04-16,5
2018-04-17,6
2018-04-18,6
2018-04-19,6
2018-04-20,11
2018-04-21,7
2018-04-22,6
2018-04-23,7
2018-04-24,8
2018-04-25,7
2018-04-26,6
2018-04-27,5
2018-04-28,5
2018-04-29,5
2018-04-30,5
2018-05-01,5
