Category: All categories

Month,ripple: (Worldwide)
2013-01,3
2013-02,3
2013-03,3
2013-04,4
2013-05,4
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,3
2013-11,3
2013-12,4
2014-01,3
2014-02,3
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,3
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,3
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,4
2017-04,4
2017-05,10
2017-06,9
2017-07,7
2017-08,10
2017-09,9
2017-10,11
2017-11,14
2017-12,86
2018-01,100
2018-02,31
2018-03,18
2018-04,16
2018-05,13
2018-06,10
2018-07,9
2018-08,10
2018-09,13
2018-10,11
2018-11,11
2018-12,9
2019-01,8
2019-02,8
2019-03,7
2019-04,8
2019-05,9
2019-06,9
2019-07,8
2019-08,7
2019-09,7
2019-10,7
2019-11,7
2019-12,6
2020-01,7
2020-02,8
2020-03,6
2020-04,6
2020-05,6
2020-06,6
2020-07,6
2020-08,8
2020-09,6
2020-10,5
